"165","216","3","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,8,78,5,1,1,24,6,18,13,70,0,0,0,9,0,"2023-04-21 13:50:01","1313","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1313/LRP.json"
0,10,69,3,2,5,17,4,21,9,74,23,0,0,10,0,"2023-04-20 13:00:01","1314","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1314/LRP.json"
4,8,51,9,7,2,28,6,17,22,73,31,0,0,0,0,"2023-04-20 13:00:01","1315","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1315/LRP.json"
0,8,72,5,2,5,22,11,14,18,78,23,0,0,5,0,"2023-04-20 13:00:01","1316","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1316/LRP.json"
1,13,69,4,5,5,27,13,25,14,68,19,0,0,0,0,"2023-04-20 13:25:01","1317","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1317/LRP.json"
3,15,35,8,3,1,22,8,17,18,64,58,0,0,0,0,"2023-04-20 13:00:01","1318","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1318/LRP.json"
0,11,69,11,4,1,31,6,28,13,60,14,0,0,0,0,"2023-04-20 13:00:01","1319","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1319/LRP.json"
1,14,67,6,4,4,30,11,26,15,55,17,0,0,7,0,"2023-04-21 10:25:01","1320","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1320/LRP.json"
4,13,73,6,2,1,24,4,17,13,79,24,0,0,2,0,"2023-04-22 10:25:01","1366","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1366/LRP.json"
3,12,52,9,3,6,31,9,20,11,61,31,0,0,0,0,"2023-04-20 14:00:02","1367","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1367/LRP.json"
4,11,59,3,2,1,28,8,35,18,73,0,0,0,0,0,"2023-04-20 12:25:01","1368","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1368/LRP.json"
5,7,70,6,5,3,27,9,10,73,0,49,0,0,0,0,"2023-04-20 13:00:01","1369","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1369/LRP.json"
0,10,70,10,3,1,33,13,16,19,69,19,0,0,0,0,"2023-04-20 13:00:01","1370","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1370/LRP.json"
2,11,74,11,3,1,24,9,20,12,64,25,0,0,0,0,"2023-04-20 14:00:02","1371","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1371/LRP.json"
4,5,52,13,6,3,24,8,21,12,63,34,0,0,5,0,"2023-04-25 14:25:01","1372","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1372/LRP.json"
1,13,58,5,5,0,26,10,14,13,70,35,0,0,0,0,"2023-04-20 14:00:02","1343","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1343/LRP.json"
0,9,56,7,5,0,31,8,28,13,63,38,0,0,0,0,"2023-04-20 14:00:02","1344","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1344/LRP.json"
2,6,56,10,3,23,25,7,28,14,61,24,0,0,9,0,"2023-04-20 16:25:01","1345","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1345/LRP.json"
1,10,60,7,4,2,29,9,25,13,63,27,0,0,2,0,"2023-04-20 14:00:02","1346","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1346/LRP.json"
1,8,71,8,6,4,40,10,21,6,50,47,0,0,0,0,"2023-04-20 14:00:02","1347","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1347/LRP.json"
1,19,68,6,1,2,27,3,32,8,58,33,0,0,6,0,"2023-04-20 14:25:01","1348","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1348/LRP.json"
1,9,71,3,2,3,21,14,11,12,69,43,0,0,0,0,"2023-04-20 14:00:02","1349","https://rionegro.datosoficiales.com/resultados/RN/1/2855/7/1349/LRP.json"
1,10,62,12,3,0,25,3,22,23,70,26,0,0,8,0,"2023-04-20 14:25:01","1373","https://rionegro.datosoficiales.com/resultados/RN/1/2855/8/1373/LRP.json"
