"165","216","3","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
1,24,32,35,3,0,28,3,49,9,37,11,0,0,5,0,"2023-04-20 15:25:01","1022","https://rionegro.datosoficiales.com/resultados/RN/2/5020/3/1022/LRP.json"
0,23,14,55,11,2,28,8,37,12,36,14,0,0,14,0,"2023-04-20 15:50:01","1023","https://rionegro.datosoficiales.com/resultados/RN/2/5020/3/1023/LRP.json"
4,14,14,47,3,2,27,7,57,15,40,14,0,0,8,0,"2023-04-20 15:50:01","1024","https://rionegro.datosoficiales.com/resultados/RN/2/5020/3/1024/LRP.json"
0,20,29,41,9,1,30,7,33,3,45,16,0,0,8,0,"2023-04-20 16:25:01","1025","https://rionegro.datosoficiales.com/resultados/RN/2/5020/3/1025/LRP.json"
4,17,25,44,1,5,24,4,48,13,41,18,0,0,10,0,"2023-04-20 15:50:01","1026","https://rionegro.datosoficiales.com/resultados/RN/2/5020/3/1026/LRP.json"
0,15,21,35,3,1,27,7,67,11,44,15,0,0,4,0,"2023-04-20 15:50:01","1027","https://rionegro.datosoficiales.com/resultados/RN/2/5020/3/1027/LRP.json"
1,57,30,0,6,2,30,20,28,2,68,23,0,0,3,0,"2023-04-21 13:00:01","1673","https://rionegro.datosoficiales.com/resultados/RN/3/2857/1/1673/LRP.json"
4,62,35,2,1,5,44,22,28,0,91,0,0,0,3,0,"2023-04-21 13:00:01","1674","https://rionegro.datosoficiales.com/resultados/RN/3/2857/1/1674/LRP.json"
3,57,21,0,6,28,16,16,27,8,90,15,0,0,0,0,"2023-04-21 13:00:01","1675","https://rionegro.datosoficiales.com/resultados/RN/3/2857/1/1675/LRP.json"
2,61,33,4,1,1,23,23,29,4,68,21,0,0,0,0,"2023-04-21 13:00:01","1676","https://rionegro.datosoficiales.com/resultados/RN/3/2857/1/1676/LRP.json"
0,36,29,1,2,2,16,6,18,4,21,17,0,0,1,0,"2023-04-21 13:00:01","1677","https://rionegro.datosoficiales.com/resultados/RN/3/2857/1/1677/LRP.json"
0,37,14,1,2,1,12,6,12,2,50,0,0,0,18,0,"2023-04-21 12:00:01","1678","https://rionegro.datosoficiales.com/resultados/RN/3/2857/1/1678/LRP.json"
1,31,9,0,0,0,23,12,5,26,38,101,0,0,4,0,"2023-04-21 13:00:01","1679","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1679/LRP.json"
1,38,11,1,5,0,19,11,10,30,47,74,0,0,0,0,"2023-04-21 13:50:01","1680","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1680/LRP.json"
0,20,17,1,0,0,17,3,11,44,52,90,0,0,12,0,"2023-04-21 14:25:01","1681","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1681/LRP.json"
5,27,8,1,1,0,19,6,10,33,33,111,0,0,0,0,"2023-04-22 09:25:01","1682","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1682/LRP.json"
0,37,10,1,0,0,20,5,10,29,48,92,0,0,8,0,"2023-04-21 13:25:01","1683","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1683/LRP.json"
1,33,6,1,0,0,16,14,17,11,35,121,0,0,0,0,"2023-04-21 13:25:01","1684","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1684/LRP.json"
1,28,8,0,1,2,17,4,15,19,48,94,0,0,1,0,"2023-04-21 14:25:01","1685","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1685/LRP.json"
3,35,15,1,0,0,18,7,12,40,40,81,0,0,2,0,"2023-04-22 10:00:01","1686","https://rionegro.datosoficiales.com/resultados/RN/3/2894/1/1686/LRP.json"
2,39,8,1,4,0,7,12,14,36,49,70,0,0,7,0,"2023-04-22 10:00:01","1701","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1701/LRP.json"
0,13,14,0,0,0,1,12,3,45,44,99,0,0,3,0,"2023-04-22 10:00:01","1702","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1702/LRP.json"
0,31,9,0,1,0,7,6,24,35,56,71,0,0,1,0,"2023-04-21 16:00:01","1703","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1703/LRP.json"
1,24,12,3,1,0,25,9,19,34,34,86,0,0,2,0,"2023-04-22 09:25:01","1704","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1704/LRP.json"
1,23,4,0,1,0,19,8,7,54,61,64,0,0,6,0,"2023-04-21 16:00:01","1705","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1705/LRP.json"
1,23,10,2,1,1,24,7,10,33,39,90,0,0,9,0,"2023-04-21 14:25:01","1706","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1706/LRP.json"
1,27,0,1,2,2,11,8,5,44,59,0,0,0,4,0,"2023-04-21 15:00:01","1707","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1707/LRP.json"
1,27,11,2,2,0,17,8,19,29,48,84,0,0,0,0,"2023-04-21 14:25:01","1708","https://rionegro.datosoficiales.com/resultados/RN/3/2894/2/1708/LRP.json"
0,27,8,1,1,0,29,11,25,32,62,64,0,0,0,0,"2023-04-21 15:25:01","1687","https://rionegro.datosoficiales.com/resultados/RN/3/2894/3/1687/LRP.json"
0,20,13,1,0,1,25,5,13,27,33,103,0,0,0,0,"2023-04-22 10:00:01","1688","https://rionegro.datosoficiales.com/resultados/RN/3/2894/3/1688/LRP.json"
1,32,4,1,0,1,13,11,14,36,57,93,0,0,5,0,"2023-04-21 14:25:01","1689","https://rionegro.datosoficiales.com/resultados/RN/3/2894/3/1689/LRP.json"
2,23,8,0,2,2,26,8,13,21,51,89,0,0,0,0,"2023-04-21 15:00:01","1690","https://rionegro.datosoficiales.com/resultados/RN/3/2894/3/1690/LRP.json"
1,31,5,2,2,2,15,6,16,18,51,82,0,0,0,0,"2023-04-22 09:25:01","1691","https://rionegro.datosoficiales.com/resultados/RN/3/2894/3/1691/LRP.json"
2,28,5,1,2,0,18,7,12,46,38,76,0,0,0,0,"2023-04-21 14:25:01","1692","https://rionegro.datosoficiales.com/resultados/RN/3/2894/3/1692/LRP.json"
0,25,12,0,1,0,10,9,10,31,50,81,0,0,0,0,"2023-04-21 14:25:01","1693","https://rionegro.datosoficiales.com/resultados/RN/3/2894/3/1693/LRP.json"
2,28,16,2,2,0,24,5,11,36,39,78,0,0,0,0,"2023-04-21 16:00:01","1724","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1724/LRP.json"
0,27,9,3,1,2,17,13,13,20,35,90,0,0,0,0,"2023-04-21 15:25:01","1725","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1725/LRP.json"
2,20,11,1,1,0,22,4,22,20,41,83,0,0,8,0,"2023-04-21 16:00:01","1726","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1726/LRP.json"
0,29,14,1,0,0,17,12,12,29,47,85,0,0,0,0,"2023-04-21 16:00:01","1727","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1727/LRP.json"
1,19,12,2,2,0,20,10,15,31,54,74,0,0,3,0,"2023-04-21 16:00:01","1728","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1728/LRP.json"
2,21,15,1,0,0,14,16,13,31,47,84,0,0,0,0,"2023-04-22 10:25:01","1729","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1729/LRP.json"
1,11,4,1,1,0,26,6,6,6,14,70,0,0,1,0,"2023-04-22 09:25:01","1730","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1730/LRP.json"
0,15,2,2,0,0,2,2,9,28,38,45,0,0,0,0,"2023-04-21 16:00:01","1731","https://rionegro.datosoficiales.com/resultados/RN/3/2894/4/1731/LRP.json"
1,34,8,1,4,0,13,9,14,16,59,80,0,0,1,0,"2023-04-21 14:25:01","1694","https://rionegro.datosoficiales.com/resultados/RN/3/2894/5/1694/LRP.json"
0,27,4,1,3,3,11,7,4,31,50,100,0,0,0,0,"2023-04-22 09:25:01","1695","https://rionegro.datosoficiales.com/resultados/RN/3/2894/5/1695/LRP.json"
1,27,8,0,0,2,16,4,16,48,37,107,0,0,0,0,"2023-04-22 10:00:01","1696","https://rionegro.datosoficiales.com/resultados/RN/3/2894/5/1696/LRP.json"
1,29,0,1,1,2,24,4,10,26,57,79,0,0,0,0,"2023-04-21 14:25:01","1697","https://rionegro.datosoficiales.com/resultados/RN/3/2894/5/1697/LRP.json"
1,37,6,2,0,2,13,7,12,24,32,102,0,0,0,0,"2023-04-22 10:00:01","1698","https://rionegro.datosoficiales.com/resultados/RN/3/2894/5/1698/LRP.json"
1,30,4,0,0,1,14,13,16,34,65,79,0,0,0,0,"2023-04-26 12:50:01","1699","https://rionegro.datosoficiales.com/resultados/RN/3/2894/5/1699/LRP.json"
0,22,14,0,4,1,27,8,14,33,36,98,0,0,2,0,"2023-04-21 14:25:01","1700","https://rionegro.datosoficiales.com/resultados/RN/3/2894/5/1700/LRP.json"
1,24,5,0,2,0,10,10,9,29,44,110,0,0,0,0,"2023-04-22 09:25:01","1709","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1709/LRP.json"
0,25,5,0,1,1,5,9,14,28,81,70,0,0,3,0,"2023-04-21 15:00:01","1710","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1710/LRP.json"
1,33,14,3,0,1,11,8,11,40,51,74,0,0,7,0,"2023-04-22 10:00:01","1711","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1711/LRP.json"
0,39,3,0,2,1,11,11,10,52,48,70,0,0,7,0,"2023-04-21 15:25:01","1712","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1712/LRP.json"
0,29,17,2,1,0,22,5,9,26,53,86,0,0,4,0,"2023-04-22 10:25:01","1713","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1713/LRP.json"
1,24,5,0,0,0,17,16,14,40,52,82,0,0,0,0,"2023-04-22 09:25:01","1714","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1714/LRP.json"
2,29,2,0,1,2,9,10,15,21,55,0,0,0,0,0,"2023-04-21 15:25:01","1715","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1715/LRP.json"
1,33,11,2,1,1,17,4,9,35,57,72,0,0,1,0,"2023-04-22 10:25:01","1716","https://rionegro.datosoficiales.com/resultados/RN/3/2894/6/1716/LRP.json"
0,27,12,1,1,0,15,7,8,54,56,55,0,0,7,0,"2023-04-22 10:00:01","1717","https://rionegro.datosoficiales.com/resultados/RN/3/2894/7/1717/LRP.json"
0,28,13,2,0,0,25,11,9,14,49,90,0,0,1,0,"2023-04-22 09:25:01","1718","https://rionegro.datosoficiales.com/resultados/RN/3/2894/7/1718/LRP.json"
0,22,11,2,0,1,26,2,12,19,41,110,0,0,3,0,"2023-04-22 10:25:01","1719","https://rionegro.datosoficiales.com/resultados/RN/3/2894/7/1719/LRP.json"
1,29,14,0,1,1,16,7,10,33,57,54,0,0,7,0,"2023-04-22 10:00:01","1720","https://rionegro.datosoficiales.com/resultados/RN/3/2894/7/1720/LRP.json"
0,27,6,1,1,2,14,6,10,28,51,79,0,0,3,0,"2023-04-22 09:25:01","1721","https://rionegro.datosoficiales.com/resultados/RN/3/2894/7/1721/LRP.json"
0,43,1,1,0,1,18,10,15,40,28,84,0,0,5,0,"2023-04-21 16:00:01","1722","https://rionegro.datosoficiales.com/resultados/RN/3/2894/7/1722/LRP.json"
1,28,7,0,1,0,10,8,17,48,52,55,0,0,7,0,"2023-04-21 16:00:01","1723","https://rionegro.datosoficiales.com/resultados/RN/3/2894/7/1723/LRP.json"
2,50,13,8,6,5,39,8,45,13,51,4,0,0,10,0,"2023-04-21 09:50:01","1641","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1641/LRP.json"
5,44,23,7,10,2,37,12,53,10,34,2,0,0,6,0,"2023-04-21 11:25:01","1642","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1642/LRP.json"
3,53,5,9,7,1,33,17,43,17,35,4,0,0,14,0,"2023-04-21 10:25:01","1643","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1643/LRP.json"
3,46,21,3,4,3,15,16,75,19,28,7,0,0,13,0,"2023-04-21 12:25:01","1644","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1644/LRP.json"
1,56,18,7,6,3,20,8,65,13,28,13,0,0,0,0,"2023-04-21 12:25:01","1645","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1645/LRP.json"
2,44,8,5,8,9,31,18,75,10,30,7,0,0,4,0,"2023-04-21 11:25:01","1646","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1646/LRP.json"
2,45,14,4,11,4,33,10,58,16,37,9,0,0,6,0,"2023-04-21 14:25:01","1647","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1647/LRP.json"
3,58,21,8,2,3,31,14,44,7,32,4,0,0,10,0,"2023-04-21 14:25:01","1648","https://rionegro.datosoficiales.com/resultados/RN/3/2897/1/1648/LRP.json"
2,54,7,6,6,0,30,8,56,12,38,4,0,0,11,0,"2023-04-21 15:00:01","1626","https://rionegro.datosoficiales.com/resultados/RN/3/2897/2/1626/LRP.json"
6,41,30,10,9,2,32,5,50,10,47,5,0,0,5,0,"2023-04-21 15:00:01","1627","https://rionegro.datosoficiales.com/resultados/RN/3/2897/2/1627/LRP.json"
6,40,19,8,10,4,36,13,55,13,37,3,0,0,10,0,"2023-04-21 12:25:01","1628","https://rionegro.datosoficiales.com/resultados/RN/3/2897/2/1628/LRP.json"
3,44,16,12,13,4,23,12,54,11,29,4,0,0,17,0,"2023-04-21 12:25:01","1629","https://rionegro.datosoficiales.com/resultados/RN/3/2897/2/1629/LRP.json"
4,53,13,12,4,1,41,17,57,7,29,5,0,0,13,0,"2023-04-21 11:25:01","1630","https://rionegro.datosoficiales.com/resultados/RN/3/2897/2/1630/LRP.json"
3,33,17,14,6,5,41,9,52,13,37,0,0,0,7,0,"2023-04-21 12:00:01","1631","https://rionegro.datosoficiales.com/resultados/RN/3/2897/2/1631/LRP.json"
3,43,8,3,7,4,30,6,62,19,38,2,0,0,11,0,"2023-04-21 11:25:01","1632","https://rionegro.datosoficiales.com/resultados/RN/3/2897/2/1632/LRP.json"
0,2,16,11,7,4,41,15,66,9,38,33,0,0,16,0,"2023-04-21 13:00:01","1633","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1633/LRP.json"
1,50,14,10,7,7,38,14,63,9,25,10,0,0,7,0,"2023-04-21 11:25:01","1634","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1634/LRP.json"
2,37,17,3,5,3,34,14,76,12,27,5,0,0,14,0,"2023-04-21 11:25:01","1635","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1635/LRP.json"
6,37,12,7,9,0,33,14,63,12,40,7,0,0,11,0,"2023-04-21 11:25:01","1636","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1636/LRP.json"
3,35,4,7,13,4,43,13,49,11,36,6,0,0,13,0,"2023-04-21 09:50:01","1637","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1637/LRP.json"
4,49,13,8,8,2,23,6,64,11,35,8,0,0,8,0,"2023-04-21 10:25:01","1638","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1638/LRP.json"
3,50,11,4,8,4,28,11,64,16,59,0,0,0,12,0,"2023-04-22 13:00:01","1639","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1639/LRP.json"
1,45,24,12,5,3,26,9,64,10,35,3,0,0,15,0,"2023-04-21 10:25:01","1640","https://rionegro.datosoficiales.com/resultados/RN/3/2897/3/1640/LRP.json"
1,50,10,9,15,3,22,16,66,10,40,3,0,0,7,0,"2023-04-21 14:25:01","1606","https://rionegro.datosoficiales.com/resultados/RN/3/2897/4/1606/LRP.json"
2,54,11,10,6,5,28,10,46,17,37,6,0,0,12,0,"2023-04-21 14:25:01","1607","https://rionegro.datosoficiales.com/resultados/RN/3/2897/4/1607/LRP.json"
3,28,7,9,5,1,21,10,88,15,24,10,0,0,14,0,"2023-04-21 14:25:01","1608","https://rionegro.datosoficiales.com/resultados/RN/3/2897/4/1608/LRP.json"
3,46,15,11,3,2,20,18,66,8,28,7,0,0,9,0,"2023-04-21 14:25:01","1609","https://rionegro.datosoficiales.com/resultados/RN/3/2897/4/1609/LRP.json"
4,40,18,8,6,1,28,14,51,9,34,10,0,0,8,0,"2023-04-21 16:00:01","1610","https://rionegro.datosoficiales.com/resultados/RN/3/2897/4/1610/LRP.json"
2,50,14,12,6,2,37,9,72,15,37,6,0,0,6,0,"2023-04-21 16:00:01","1611","https://rionegro.datosoficiales.com/resultados/RN/3/2897/4/1611/LRP.json"
4,36,15,8,12,5,29,16,65,8,22,9,0,0,8,0,"2023-04-21 15:25:01","1612","https://rionegro.datosoficiales.com/resultados/RN/3/2897/4/1612/LRP.json"
3,53,10,7,3,5,28,7,66,10,45,5,0,0,8,0,"2023-04-21 16:00:01","1613","https://rionegro.datosoficiales.com/resultados/RN/3/2897/5/1613/LRP.json"
2,48,21,11,8,0,31,20,38,9,37,1,0,0,5,0,"2023-04-21 16:00:01","1614","https://rionegro.datosoficiales.com/resultados/RN/3/2897/5/1614/LRP.json"
2,51,15,7,4,4,23,5,86,9,30,3,0,0,8,0,"2023-04-21 14:25:01","1615","https://rionegro.datosoficiales.com/resultados/RN/3/2897/5/1615/LRP.json"
2,48,12,9,3,5,31,12,45,12,36,8,0,0,15,0,"2023-04-21 14:25:01","1616","https://rionegro.datosoficiales.com/resultados/RN/3/2897/5/1616/LRP.json"
4,49,14,8,11,6,37,37,57,9,31,23,0,0,23,0,"2023-04-21 14:25:01","1617","https://rionegro.datosoficiales.com/resultados/RN/3/2897/5/1617/LRP.json"
2,47,21,14,7,0,37,12,65,11,23,7,0,0,9,0,"2023-04-21 14:25:01","1618","https://rionegro.datosoficiales.com/resultados/RN/3/2897/5/1618/LRP.json"
2,46,12,9,4,5,31,15,44,11,37,8,0,0,17,0,"2023-04-21 15:25:01","1619","https://rionegro.datosoficiales.com/resultados/RN/3/2897/6/1619/LRP.json"
1,56,3,8,10,3,34,7,64,13,37,0,0,0,11,0,"2023-04-21 15:25:01","1620","https://rionegro.datosoficiales.com/resultados/RN/3/2897/6/1620/LRP.json"
3,46,12,9,7,5,40,6,66,7,41,6,0,0,3,0,"2023-04-21 16:00:01","1621","https://rionegro.datosoficiales.com/resultados/RN/3/2897/6/1621/LRP.json"
4,48,16,7,5,2,37,13,65,5,31,0,0,0,16,0,"2023-04-21 16:00:01","1622","https://rionegro.datosoficiales.com/resultados/RN/3/2897/6/1622/LRP.json"
0,60,8,7,7,2,29,12,63,7,39,8,0,0,10,0,"2023-04-21 15:25:01","1623","https://rionegro.datosoficiales.com/resultados/RN/3/2897/6/1623/LRP.json"
3,55,10,10,9,1,28,8,52,9,54,6,0,0,6,0,"2023-04-21 16:00:01","1624","https://rionegro.datosoficiales.com/resultados/RN/3/2897/6/1624/LRP.json"
4,50,13,7,5,5,29,19,62,9,37,9,0,0,9,0,"2023-04-21 16:00:01","1625","https://rionegro.datosoficiales.com/resultados/RN/3/2897/6/1625/LRP.json"
3,54,12,13,3,5,27,10,69,10,46,3,0,0,10,0,"2023-04-21 14:25:01","1591","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1591/LRP.json"
1,47,16,13,4,1,32,14,52,11,51,8,0,0,9,0,"2023-04-21 14:25:01","1592","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1592/LRP.json"
2,49,23,6,4,6,38,5,59,5,47,7,0,0,7,0,"2023-04-21 14:25:01","1593","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1593/LRP.json"
7,46,15,8,7,3,19,12,61,17,56,0,0,0,5,0,"2023-04-21 14:25:01","1594","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1594/LRP.json"
0,46,17,6,8,3,24,10,68,15,31,19,0,0,5,0,"2023-04-22 13:00:01","1595","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1595/LRP.json"
3,63,12,3,4,1,37,9,55,3,35,7,0,0,3,0,"2023-04-21 14:25:01","1596","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1596/LRP.json"
4,49,15,9,6,3,18,8,83,9,28,2,0,0,11,0,"2023-04-21 14:25:01","1597","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1597/LRP.json"
3,48,10,3,8,0,39,4,69,9,24,3,0,0,15,0,"2023-04-21 14:25:01","1598","https://rionegro.datosoficiales.com/resultados/RN/3/2897/7/1598/LRP.json"
5,49,9,9,7,5,29,15,63,10,46,2,0,0,8,0,"2023-04-21 12:00:01","1649","https://rionegro.datosoficiales.com/resultados/RN/3/2897/8/1649/LRP.json"
3,44,9,16,5,3,31,12,52,10,44,9,0,0,12,0,"2023-04-21 14:25:01","1650","https://rionegro.datosoficiales.com/resultados/RN/3/2897/8/1650/LRP.json"
4,22,9,4,4,1,22,11,26,7,16,7,0,0,3,0,"2023-04-21 13:25:01","1651","https://rionegro.datosoficiales.com/resultados/RN/3/2897/8/1651/LRP.json"
1,27,1,3,3,0,19,4,39,12,15,1,0,0,12,0,"2023-04-21 14:25:01","1652","https://rionegro.datosoficiales.com/resultados/RN/3/2897/8/1652/LRP.json"
0,43,9,6,9,6,33,8,58,10,37,6,0,0,12,0,"2023-04-22 13:00:01","1599","https://rionegro.datosoficiales.com/resultados/RN/3/2897/9/1599/LRP.json"
5,46,10,8,10,6,24,10,51,12,47,5,0,0,9,0,"2023-04-21 16:00:01","1600","https://rionegro.datosoficiales.com/resultados/RN/3/2897/9/1600/LRP.json"
7,44,13,7,6,6,37,13,39,9,52,5,0,0,12,0,"2023-04-21 14:25:01","1601","https://rionegro.datosoficiales.com/resultados/RN/3/2897/9/1601/LRP.json"
3,39,4,6,12,4,35,8,48,17,40,2,0,0,2,0,"2023-04-21 15:00:01","1602","https://rionegro.datosoficiales.com/resultados/RN/3/2897/9/1602/LRP.json"
4,32,15,8,11,6,32,5,46,10,56,4,0,0,13,0,"2023-04-26 08:50:01","1603","https://rionegro.datosoficiales.com/resultados/RN/3/2897/9/1603/LRP.json"
2,44,10,9,6,3,34,7,62,9,42,3,0,0,19,0,"2023-04-21 15:00:01","1604","https://rionegro.datosoficiales.com/resultados/RN/3/2897/9/1604/LRP.json"
0,58,8,7,14,2,25,9,82,4,28,7,0,0,5,0,"2023-04-21 14:25:01","1605","https://rionegro.datosoficiales.com/resultados/RN/3/2897/9/1605/LRP.json"
6,16,26,1,8,2,25,4,75,14,61,10,0,0,10,0,"2023-04-21 14:25:01","1407","https://rionegro.datosoficiales.com/resultados/RN/3/2898/1/1407/LRP.json"
2,18,21,4,7,2,14,7,109,10,55,18,0,0,5,0,"2023-04-21 11:25:01","1408","https://rionegro.datosoficiales.com/resultados/RN/3/2898/1/1408/LRP.json"
1,13,22,3,10,4,53,5,83,11,53,18,0,0,9,0,"2023-04-22 12:25:01","1409","https://rionegro.datosoficiales.com/resultados/RN/3/2898/1/1409/LRP.json"
1,15,17,1,6,3,17,2,81,4,41,4,0,0,9,0,"2023-04-21 12:00:01","1410","https://rionegro.datosoficiales.com/resultados/RN/3/2898/1/1410/LRP.json"
1,23,17,3,7,2,22,4,75,3,31,6,0,0,7,0,"2023-04-21 13:25:01","1411","https://rionegro.datosoficiales.com/resultados/RN/3/2898/1/1411/LRP.json"
2,16,24,0,10,0,22,4,126,7,35,10,0,0,1,0,"2023-04-21 13:00:01","1423","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1423/LRP.json"
6,19,18,1,12,1,21,38,104,12,63,30,0,0,3,0,"2023-04-22 13:00:01","1424","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1424/LRP.json"
2,14,14,3,15,1,36,7,108,10,33,1,0,0,5,0,"2023-04-21 12:25:01","1425","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1425/LRP.json"
1,16,18,2,8,2,11,6,117,4,43,5,0,0,5,0,"2023-04-22 10:25:01","1426","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1426/LRP.json"
0,25,21,1,14,4,17,11,86,5,46,13,0,0,6,0,"2023-04-22 10:00:01","1427","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1427/LRP.json"
3,24,14,4,7,3,26,6,90,13,44,7,0,0,9,0,"2023-04-21 12:00:01","1428","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1428/LRP.json"
3,19,23,3,4,3,17,5,107,7,39,8,0,0,7,0,"2023-04-21 13:00:01","1429","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1429/LRP.json"
3,11,13,3,6,2,11,2,69,2,30,2,0,0,3,0,"2023-04-21 12:00:01","1430","https://rionegro.datosoficiales.com/resultados/RN/3/2898/10/1430/LRP.json"
2,20,18,7,10,3,21,5,108,4,28,9,0,0,4,0,"2023-04-21 12:00:01","1431","https://rionegro.datosoficiales.com/resultados/RN/3/2898/11/1431/LRP.json"
1,27,10,1,5,0,12,5,126,6,26,9,0,0,2,0,"2023-04-21 12:00:01","1432","https://rionegro.datosoficiales.com/resultados/RN/3/2898/11/1432/LRP.json"
1,23,13,2,7,1,14,2,103,11,36,12,0,0,5,0,"2023-04-21 13:25:01","1433","https://rionegro.datosoficiales.com/resultados/RN/3/2898/11/1433/LRP.json"
2,21,19,0,9,1,22,4,102,7,32,1,0,0,5,0,"2023-04-21 12:00:01","1434","https://rionegro.datosoficiales.com/resultados/RN/3/2898/11/1434/LRP.json"
2,10,9,1,5,1,17,3,129,5,31,16,0,0,1,0,"2023-04-21 11:25:01","1435","https://rionegro.datosoficiales.com/resultados/RN/3/2898/11/1435/LRP.json"
3,18,0,2,7,1,23,6,96,12,44,35,0,0,3,0,"2023-04-21 11:25:01","1395","https://rionegro.datosoficiales.com/resultados/RN/3/2898/12/1395/LRP.json"
2,3,12,2,8,3,17,7,108,10,44,30,0,0,1,0,"2023-04-21 10:50:01","1396","https://rionegro.datosoficiales.com/resultados/RN/3/2898/12/1396/LRP.json"
1,22,8,2,8,1,25,8,115,7,41,11,0,0,6,0,"2023-04-21 12:25:01","1397","https://rionegro.datosoficiales.com/resultados/RN/3/2898/12/1397/LRP.json"
1,20,10,1,7,5,19,10,95,13,68,14,0,0,3,0,"2023-04-21 10:25:01","1398","https://rionegro.datosoficiales.com/resultados/RN/3/2898/12/1398/LRP.json"
2,20,5,3,13,2,18,3,99,5,60,4,0,0,0,0,"2023-04-21 13:25:01","1399","https://rionegro.datosoficiales.com/resultados/RN/3/2898/12/1399/LRP.json"
0,20,23,0,4,3,31,4,89,5,55,27,0,0,2,0,"2023-04-21 12:00:01","1419","https://rionegro.datosoficiales.com/resultados/RN/3/2898/13/1419/LRP.json"
2,25,9,5,8,2,25,13,97,13,45,19,0,0,0,0,"2023-04-21 11:25:01","1420","https://rionegro.datosoficiales.com/resultados/RN/3/2898/13/1420/LRP.json"
2,27,16,3,9,3,18,5,109,7,56,7,0,0,4,0,"2023-04-21 11:25:01","1421","https://rionegro.datosoficiales.com/resultados/RN/3/2898/13/1421/LRP.json"
2,12,10,4,8,3,18,6,70,5,45,12,0,0,8,0,"2023-04-22 12:25:01","1422","https://rionegro.datosoficiales.com/resultados/RN/3/2898/13/1422/LRP.json"
1,24,14,3,2,5,24,5,125,8,32,14,0,0,3,0,"2023-04-21 16:00:01","1542","https://rionegro.datosoficiales.com/resultados/RN/3/2898/14/1542/LRP.json"
1,20,14,2,8,2,13,8,123,5,53,7,0,0,1,0,"2023-04-21 12:00:01","1543","https://rionegro.datosoficiales.com/resultados/RN/3/2898/14/1543/LRP.json"
