"216","3","424","425","426","427","428","429","430","431","BLC","IMP","NUL","REC","hora_proceso","numero","url"
7,53,7,7,2,,6,14,18,99,45,0,0,0,"2023-04-20 13:00:01","1315","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1315/LEC.json"
8,77,5,1,5,,12,7,17,99,27,0,5,0,"2023-04-20 13:00:01","1316","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1316/LEC.json"
14,65,3,5,5,,13,18,13,96,31,0,0,0,"2023-04-20 13:25:01","1317","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1317/LEC.json"
15,69,8,3,1,,8,15,16,87,30,0,0,0,"2023-04-20 13:00:01","1318","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1318/LEC.json"
11,69,0,5,1,,5,21,13,61,62,0,0,0,"2023-04-20 13:00:01","1319","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1319/LEC.json"
12,66,5,4,3,,10,24,17,83,25,0,8,0,"2023-04-21 10:25:01","1320","https://rionegro.datosoficiales.com/resultados/RN/1/2855/5/1320/LEC.json"
12,76,5,2,1,,4,16,13,102,31,0,0,0,"2023-04-22 10:25:01","1366","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1366/LEC.json"
13,52,9,0,0,,9,20,12,61,72,0,0,0,"2023-04-20 14:00:02","1367","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1367/LEC.json"
11,68,1,2,1,,8,25,17,75,0,0,0,0,"2023-04-20 12:25:01","1368","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1368/LEC.json"
7,72,6,5,4,,11,11,101,0,47,0,0,0,"2023-04-20 13:00:01","1369","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1369/LEC.json"
9,69,11,2,1,,13,16,19,98,25,0,0,0,"2023-04-20 13:00:01","1370","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1370/LEC.json"
11,75,11,3,1,,9,21,12,64,49,0,0,0,"2023-04-20 14:00:02","1371","https://rionegro.datosoficiales.com/resultados/RN/1/2855/6/1371/LEC.json"
