"1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","3","4","5","6","7","8","9","BLC","IMP","OBS","hora_proceso","numero","url"
37,37,15,11,12,6,10,14,4,2,6,5,10,4,12,7,8,9,8,6,5,3,29,3,10,7,0,0,"2023-07-23 19:50:01","765","https://plazahuincul.datosoficiales.com/resultados/PH/4/765/INT.json"
4,11,4,2,1,1,1,0,1,0,0,0,3,1,3,3,1,2,2,1,2,0,8,0,9,0,3,1,"2023-07-23 19:45:01","785","https://plazahuincul.datosoficiales.com/resultados/PH/4/785/INT.json"
22,26,12,9,21,4,13,5,3,4,7,4,18,5,19,6,14,5,5,5,7,7,45,1,5,10,0,1,"2023-07-23 19:20:01","766","https://plazahuincul.datosoficiales.com/resultados/PH/5/766/INT.json"
21,51,11,11,12,4,7,14,4,2,4,2,8,11,17,3,9,15,12,4,6,5,24,2,9,6,0,0,"2023-07-23 19:20:01","767","https://plazahuincul.datosoficiales.com/resultados/PH/5/767/INT.json"
39,16,14,4,17,5,11,13,8,2,11,3,7,8,25,2,7,3,9,3,6,0,27,1,6,11,0,0,"2023-07-23 19:20:01","768","https://plazahuincul.datosoficiales.com/resultados/PH/5/768/INT.json"
24,40,15,14,23,3,11,9,5,1,6,8,9,5,19,1,13,9,4,5,4,3,29,1,5,7,0,0,"2023-07-23 19:20:01","769","https://plazahuincul.datosoficiales.com/resultados/PH/5/769/INT.json"
27,35,7,6,18,6,7,8,2,6,4,4,7,2,20,11,8,16,5,11,11,1,46,1,12,2,0,1,"2023-07-23 19:20:01","770","https://plazahuincul.datosoficiales.com/resultados/PH/5/770/INT.json"
15,26,11,13,19,5,6,8,14,6,7,2,5,4,17,4,12,6,8,8,9,2,32,2,7,9,0,0,"2023-07-23 19:30:01","771","https://plazahuincul.datosoficiales.com/resultados/PH/6/771/INT.json"
27,32,13,2,25,4,19,6,6,3,1,5,10,3,22,3,10,5,9,3,4,3,33,1,11,5,0,5,"2023-07-23 19:15:02","772","https://plazahuincul.datosoficiales.com/resultados/PH/6/772/INT.json"
19,32,18,7,18,4,12,8,5,3,6,3,9,9,36,9,8,7,8,2,3,2,20,0,8,11,1,4,"2023-07-23 20:05:01","773","https://plazahuincul.datosoficiales.com/resultados/PH/6/773/INT.json"
16,31,14,11,15,7,12,3,8,2,8,2,15,5,24,5,5,5,9,7,12,4,36,1,2,3,0,1,"2023-07-23 19:20:01","774","https://plazahuincul.datosoficiales.com/resultados/PH/6/774/INT.json"
32,29,13,6,18,5,11,4,15,3,2,4,12,7,17,4,13,6,5,4,7,5,34,0,7,9,0,3,"2023-07-23 19:20:01","775","https://plazahuincul.datosoficiales.com/resultados/PH/6/775/INT.json"
30,41,6,10,14,2,12,7,5,2,4,2,11,4,27,5,11,5,9,8,14,4,32,0,5,5,0,1,"2023-07-23 20:10:01","776","https://plazahuincul.datosoficiales.com/resultados/PH/6/776/INT.json"
34,21,15,9,20,5,6,6,5,2,3,2,8,4,18,4,6,6,7,10,5,3,31,3,15,4,0,8,"2023-07-23 20:10:01","777","https://plazahuincul.datosoficiales.com/resultados/PH/6/777/INT.json"
24,40,11,20,10,9,9,2,3,3,6,3,13,1,17,5,6,6,6,1,13,6,32,2,9,7,0,2,"2023-07-23 19:25:01","778","https://plazahuincul.datosoficiales.com/resultados/PH/7/778/INT.json"
23,31,10,6,16,6,12,6,2,4,4,4,11,6,20,8,6,5,12,3,4,4,33,0,5,7,0,1,"2023-07-23 19:50:01","779","https://plazahuincul.datosoficiales.com/resultados/PH/7/779/INT.json"
27,27,14,10,19,3,13,4,6,5,5,3,17,5,25,4,12,9,4,5,5,2,23,0,9,5,0,5,"2023-07-23 19:25:01","780","https://plazahuincul.datosoficiales.com/resultados/PH/7/780/INT.json"
27,25,9,8,16,8,10,1,11,12,5,3,6,4,15,6,10,11,10,5,12,2,26,1,5,8,0,3,"2023-07-23 19:55:01","781","https://plazahuincul.datosoficiales.com/resultados/PH/7/781/INT.json"
24,47,7,9,17,4,13,4,7,5,1,4,4,5,18,6,8,2,4,9,7,5,33,1,2,4,0,2,"2023-07-23 19:20:01","782","https://plazahuincul.datosoficiales.com/resultados/PH/7/782/INT.json"
31,29,6,4,20,3,9,4,5,2,10,4,13,0,23,6,13,10,7,5,6,7,41,1,17,9,5,0,"2023-07-23 19:55:01","783","https://plazahuincul.datosoficiales.com/resultados/PH/7/783/INT.json"
43,27,10,7,11,7,11,5,7,2,5,0,10,2,21,7,7,5,12,4,7,3,37,0,8,6,4,1,"2023-07-23 19:50:01","784","https://plazahuincul.datosoficiales.com/resultados/PH/7/784/INT.json"
