"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,2,3,71,2,154,4,6,0,0,2,0,"2019-04-12 17:35:02","368","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/368/GOB.json"
4,2,0,56,3,160,2,13,0,0,4,0,"2019-04-12 17:35:02","369","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/369/GOB.json"
0,2,0,61,2,165,8,3,0,0,4,0,"2019-04-12 17:35:02","370","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/370/GOB.json"
0,0,0,6,0,6,0,0,0,0,2,0,"2019-04-12 17:35:02","371","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38/1/371/GOB.json"
1,0,0,24,1,65,1,1,0,0,0,0,"2019-04-12 17:35:02","372","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38A/1/372/GOB.json"
0,0,0,11,0,26,4,0,0,0,0,0,"2019-04-12 17:35:02","373","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/39/1/373/GOB.json"
3,1,2,50,9,125,7,1,0,0,2,0,"2019-04-12 17:35:02","375","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/40A/1/375/GOB.json"
5,2,1,45,8,51,11,4,0,0,4,0,"2019-04-12 17:35:02","376","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/1/376/GOB.json"
5,10,14,75,10,77,18,1,0,0,7,0,"2019-04-12 17:35:02","451","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/451/GOB.json"
3,8,7,74,12,77,16,4,0,0,10,0,"2019-04-12 17:35:02","452","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/452/GOB.json"
3,4,8,77,8,84,7,16,0,0,7,0,"2019-04-12 17:35:02","453","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/453/GOB.json"
1,7,18,59,7,97,13,0,0,0,10,0,"2019-04-12 17:35:02","454","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/454/GOB.json"
1,6,11,83,8,105,10,2,0,0,2,0,"2019-04-12 17:35:02","455","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/455/GOB.json"
1,7,7,78,9,105,8,5,0,0,4,0,"2019-04-12 17:35:02","456","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/456/GOB.json"
4,2,22,82,7,108,11,4,0,0,14,0,"2019-04-12 17:35:02","457","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/457/GOB.json"
7,6,13,82,10,92,10,3,0,0,10,0,"2019-04-12 17:35:02","458","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/458/GOB.json"
2,4,19,92,6,99,1,4,0,0,9,0,"2019-04-12 17:35:02","459","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/459/GOB.json"
2,8,20,103,11,96,4,4,0,0,7,0,"2019-04-12 17:35:02","460","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/460/GOB.json"
5,3,17,86,16,105,7,3,0,0,8,0,"2019-04-12 17:35:02","461","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/461/GOB.json"
10,6,18,85,5,106,10,2,0,0,6,0,"2019-04-12 17:35:02","462","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/462/GOB.json"
1,6,23,88,10,105,7,2,0,0,6,0,"2019-04-12 17:35:02","463","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/463/GOB.json"
4,3,13,95,12,100,9,10,0,0,11,0,"2019-04-12 17:35:02","464","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/464/GOB.json"
2,7,22,79,9,123,11,3,0,0,6,0,"2019-04-12 17:35:02","465","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/465/GOB.json"
2,7,20,90,12,91,16,5,0,0,15,0,"2019-04-12 17:35:02","466","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/466/GOB.json"
3,3,6,81,15,112,5,2,0,0,6,0,"2019-04-12 17:35:02","467","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/467/GOB.json"
3,4,17,82,11,113,7,6,0,0,6,0,"2019-04-12 17:35:02","468","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/468/GOB.json"
7,4,12,79,11,123,4,2,0,0,15,0,"2019-04-12 17:35:02","469","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/469/GOB.json"
3,5,19,81,11,114,6,1,0,0,4,0,"2019-04-12 17:35:02","470","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/470/GOB.json"
0,11,14,72,8,122,14,4,0,0,6,0,"2019-04-12 17:35:02","471","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/471/GOB.json"
4,5,19,98,9,106,5,2,0,0,8,0,"2019-04-12 17:35:02","472","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/472/GOB.json"
2,0,25,78,6,113,5,6,0,0,6,0,"2019-04-12 17:35:02","473","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/473/GOB.json"
