"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,2,5,70,5,153,4,3,0,0,2,0,"2019-04-12 17:35:02","368","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/368/LRP.json"
4,2,1,54,3,160,2,14,0,0,4,0,"2019-04-12 17:35:02","369","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/369/LRP.json"
0,2,0,60,2,163,9,5,0,0,4,0,"2019-04-12 17:35:02","370","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/370/LRP.json"
0,0,0,7,0,5,0,2,0,0,2,0,"2019-04-12 17:35:02","371","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38/1/371/LRP.json"
1,0,0,24,1,65,1,1,0,0,0,0,"2019-04-12 17:35:02","372","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38A/1/372/LRP.json"
0,0,0,11,0,26,4,0,0,0,0,0,"2019-04-12 17:35:02","373","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/39/1/373/LRP.json"
5,2,2,48,9,125,7,2,0,0,2,0,"2019-04-12 17:35:02","375","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/40A/1/375/LRP.json"
5,2,1,45,9,51,11,3,0,0,4,0,"2019-04-12 17:35:02","376","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/1/376/LRP.json"
5,9,14,70,14,76,19,3,0,0,7,0,"2019-04-12 17:35:02","451","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/451/LRP.json"
3,8,8,76,14,70,19,2,0,0,11,0,"2019-04-12 17:35:02","452","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/452/LRP.json"
3,4,9,78,12,89,10,4,0,0,7,0,"2019-04-12 17:35:02","453","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/453/LRP.json"
1,7,19,59,8,94,15,0,0,0,9,0,"2019-04-12 17:35:02","454","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/454/LRP.json"
1,7,12,81,10,103,10,2,0,0,2,0,"2019-04-12 17:35:02","455","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/455/LRP.json"
1,6,10,80,9,101,8,5,0,0,4,0,"2019-04-12 17:35:02","456","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/456/LRP.json"
4,2,23,80,7,106,11,7,0,0,14,0,"2019-04-12 17:35:02","457","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/457/LRP.json"
7,7,13,83,10,90,10,3,0,0,10,0,"2019-04-12 17:35:02","458","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/458/LRP.json"
2,4,24,86,6,84,1,20,0,0,9,0,"2019-04-12 17:35:02","459","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/459/LRP.json"
2,6,24,98,11,96,4,7,0,0,7,0,"2019-04-12 17:35:02","460","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/460/LRP.json"
5,3,17,85,15,104,7,6,0,0,8,0,"2019-04-12 17:35:02","461","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/461/LRP.json"
