"165","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
4,0,54,3,160,2,17,0,0,4,0,"2019-04-12 17:35:02","369","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/369/LRC.json"
0,0,60,2,163,9,7,0,0,4,0,"2019-04-12 17:35:02","370","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/37/1/370/LRC.json"
0,0,7,0,5,0,2,0,0,2,0,"2019-04-12 17:35:02","371","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38/1/371/LRC.json"
1,0,24,1,65,1,1,0,0,0,0,"2019-04-12 17:35:02","372","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/38A/1/372/LRC.json"
0,0,11,0,26,4,0,0,0,0,0,"2019-04-12 17:35:02","373","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/39/1/373/LRC.json"
3,3,47,9,125,7,4,0,0,2,0,"2019-04-12 17:35:02","375","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/40A/1/375/LRC.json"
5,1,44,9,50,12,5,0,0,4,0,"2019-04-12 17:35:02","376","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/1/376/LRC.json"
5,16,71,13,73,18,14,0,0,7,0,"2019-04-12 17:35:02","451","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/451/LRC.json"
3,9,74,15,69,18,13,0,0,10,0,"2019-04-12 17:35:02","452","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/452/LRC.json"
3,9,78,12,89,10,8,0,0,7,0,"2019-04-12 17:35:02","453","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/453/LRC.json"
1,20,59,9,93,15,6,0,0,9,0,"2019-04-12 17:35:02","454","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/454/LRC.json"
2,13,80,9,101,12,9,0,0,2,0,"2019-04-12 17:35:02","455","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/455/LRC.json"
2,12,79,8,99,10,10,0,0,4,0,"2019-04-12 17:35:02","456","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/10/456/LRC.json"
4,29,77,7,102,11,10,0,0,14,0,"2019-04-12 17:35:02","457","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/457/LRC.json"
7,17,80,11,87,11,10,0,0,10,0,"2019-04-12 17:35:02","458","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/458/LRC.json"
3,25,86,6,87,2,21,0,0,9,0,"2019-04-12 17:35:02","459","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/459/LRC.json"
2,30,98,11,97,4,6,0,0,7,0,"2019-04-12 17:35:02","460","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/460/LRC.json"
5,18,85,14,106,7,7,0,0,8,0,"2019-04-12 17:35:02","461","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/461/LRC.json"
10,22,84,5,101,10,10,0,0,6,0,"2019-04-12 17:35:02","462","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/462/LRC.json"
1,27,87,10,101,8,14,0,0,2,0,"2019-04-12 17:35:02","463","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/463/LRC.json"
5,22,90,14,92,10,13,0,0,11,0,"2019-04-12 17:35:02","464","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/464/LRC.json"
2,24,73,9,121,11,16,0,0,6,0,"2019-04-12 17:35:02","465","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/11/465/LRC.json"
2,28,86,11,90,15,11,0,0,15,0,"2019-04-12 17:35:02","466","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/466/LRC.json"
3,10,76,15,112,5,6,0,0,6,0,"2019-04-12 17:35:02","467","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/467/LRC.json"
3,17,82,11,113,7,10,0,0,6,0,"2019-04-12 17:35:02","468","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/468/LRC.json"
7,13,75,12,122,4,9,0,0,15,0,"2019-04-12 17:35:02","469","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/469/LRC.json"
4,22,77,11,110,6,10,0,0,4,0,"2019-04-12 17:35:02","470","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/470/LRC.json"
0,16,71,10,118,13,17,0,0,6,0,"2019-04-12 17:35:02","471","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/471/LRC.json"
4,25,95,11,99,5,13,0,0,8,0,"2019-04-12 17:35:02","472","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/472/LRC.json"
3,34,74,6,106,5,7,0,0,6,0,"2019-04-12 17:35:02","473","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/473/LRC.json"
3,20,84,11,120,4,7,0,0,8,0,"2019-04-12 17:35:02","474","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/12/474/LRC.json"
4,15,100,12,96,6,6,0,0,14,0,"2019-04-12 17:35:02","475","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/475/LRC.json"
4,24,97,5,106,12,8,0,0,10,0,"2019-04-12 17:35:02","476","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/476/LRC.json"
1,12,93,15,114,10,15,0,0,5,0,"2019-04-12 17:35:02","477","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/477/LRC.json"
1,7,93,6,99,11,23,0,0,13,0,"2019-04-12 17:35:02","478","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/478/LRC.json"
6,17,87,10,101,8,9,0,0,8,0,"2019-04-12 17:35:02","479","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/479/LRC.json"
8,17,97,13,106,6,11,0,0,5,0,"2019-04-12 17:35:02","480","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/480/LRC.json"
2,25,83,16,90,9,18,0,0,10,0,"2019-04-12 17:35:02","481","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/481/LRC.json"
8,20,98,10,108,15,11,0,0,9,0,"2019-04-12 17:35:02","482","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/482/LRC.json"
5,21,70,9,116,7,8,0,0,6,0,"2019-04-12 17:35:02","483","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/483/LRC.json"
1,20,97,11,100,6,0,0,0,10,0,"2019-04-12 17:35:02","484","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/484/LRC.json"
8,21,89,15,117,3,13,0,0,7,0,"2019-04-12 17:35:02","485","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/485/LRC.json"
4,12,93,11,123,11,1,0,0,0,0,"2019-04-12 17:35:02","486","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/486/LRC.json"
1,20,93,13,113,11,2,0,0,5,0,"2019-04-12 17:35:02","487","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/487/LRC.json"
1,11,96,7,98,9,13,0,0,2,0,"2019-04-12 17:35:02","488","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/488/LRC.json"
5,23,90,6,95,5,10,0,0,8,0,"2019-04-12 17:35:02","489","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/489/LRC.json"
4,20,90,5,94,7,1,0,0,6,0,"2019-04-12 17:35:02","490","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/490/LRC.json"
2,20,91,2,99,5,8,0,0,4,0,"2019-04-12 17:35:02","491","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/491/LRC.json"
7,21,71,9,101,11,4,0,0,12,0,"2019-04-12 17:35:02","492","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/492/LRC.json"
6,16,82,4,121,8,3,0,0,9,0,"2019-04-12 17:35:02","493","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/493/LRC.json"
4,15,76,12,126,8,10,0,0,8,0,"2019-04-12 17:35:02","494","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/494/LRC.json"
1,27,69,18,123,14,5,0,0,11,0,"2019-04-12 17:35:02","495","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/495/LRC.json"
4,19,71,14,127,16,16,0,0,11,0,"2019-04-12 17:35:02","496","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/496/LRC.json"
9,19,74,17,99,7,19,0,0,3,0,"2019-04-12 17:35:02","497","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/497/LRC.json"
2,5,44,9,91,26,5,0,0,4,0,"2019-04-12 17:35:02","498","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/498/LRC.json"
1,2,45,10,83,30,9,0,0,4,0,"2019-04-12 17:35:02","499","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/499/LRC.json"
3,4,31,6,80,28,7,0,0,5,0,"2019-04-12 17:35:02","500","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/500/LRC.json"
1,9,36,4,81,35,6,0,0,2,0,"2019-04-12 17:35:02","501","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/501/LRC.json"
2,4,38,8,90,22,15,0,0,0,0,"2019-04-12 17:35:02","502","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/502/LRC.json"
4,4,46,6,98,17,2,0,0,5,0,"2019-04-12 17:35:02","503","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/503/LRC.json"
3,4,28,5,95,37,2,0,0,5,0,"2019-04-12 17:35:02","504","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/504/LRC.json"
4,13,59,10,109,25,12,0,0,0,0,"2019-04-12 17:35:02","505","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/505/LRC.json"
6,6,45,9,109,34,15,0,0,6,0,"2019-04-12 17:35:02","506","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/506/LRC.json"
4,11,51,8,116,24,11,0,0,4,0,"2019-04-12 17:35:02","507","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/507/LRC.json"
4,6,53,11,126,26,6,0,0,3,0,"2019-04-12 17:35:02","508","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/508/LRC.json"
0,9,57,9,144,20,1,0,0,4,0,"2019-04-12 17:35:02","509","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/509/LRC.json"
4,4,71,9,112,21,13,0,0,7,0,"2019-04-12 17:35:02","510","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/510/LRC.json"
2,7,46,5,122,29,8,0,0,5,0,"2019-04-12 17:35:02","511","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/511/LRC.json"
5,10,50,12,97,41,9,0,0,0,0,"2019-04-12 17:35:02","512","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/512/LRC.json"
8,10,60,7,115,18,21,0,0,0,0,"2019-04-12 17:35:02","513","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/513/LRC.json"
0,2,75,11,108,27,16,0,0,0,0,"2019-04-12 17:35:02","514","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/514/LRC.json"
5,8,38,12,105,39,12,0,0,0,0,"2019-04-12 17:35:02","515","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/515/LRC.json"
8,5,56,13,114,25,6,0,0,5,0,"2019-04-12 17:35:02","516","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/516/LRC.json"
1,14,63,11,104,25,8,0,0,4,0,"2019-04-12 17:35:02","517","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/517/LRC.json"
4,7,45,11,85,32,9,0,0,3,0,"2019-04-12 17:35:02","518","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/518/LRC.json"
1,5,50,12,82,35,0,0,0,12,0,"2019-04-12 17:35:02","519","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/519/LRC.json"
2,6,49,9,88,37,7,0,0,3,0,"2019-04-12 17:35:02","520","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/520/LRC.json"
6,5,45,5,106,30,6,0,0,10,0,"2019-04-12 17:35:02","521","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/521/LRC.json"
6,2,53,6,65,38,8,0,0,8,0,"2019-04-12 17:35:02","522","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/522/LRC.json"
4,2,43,9,77,32,4,0,0,8,0,"2019-04-12 17:35:02","523","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/523/LRC.json"
1,4,39,9,92,37,7,0,0,6,0,"2019-04-12 17:35:02","524","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/524/LRC.json"
3,6,41,9,91,32,1,0,0,3,0,"2019-04-12 17:35:02","525","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/525/LRC.json"
5,4,105,17,57,24,12,0,0,6,0,"2019-04-12 17:35:02","377","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/377/LRC.json"
7,6,93,10,72,30,8,0,0,2,0,"2019-04-12 17:35:02","378","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/378/LRC.json"
3,1,74,9,75,31,12,0,0,9,0,"2019-04-12 17:35:02","379","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/379/LRC.json"
4,1,74,22,62,23,9,0,0,10,0,"2019-04-12 17:35:02","380","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/380/LRC.json"
2,5,72,7,71,36,7,0,0,5,0,"2019-04-12 17:35:02","381","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/381/LRC.json"
4,3,94,8,77,24,9,0,0,7,0,"2019-04-12 17:35:02","382","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/382/LRC.json"
2,1,95,16,66,32,11,0,0,8,0,"2019-04-12 17:35:02","383","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/383/LRC.json"
