"102","104","1539","1547","1548","1549","1550","20","30","31","524","8","BLC","IMP","NUL","REC","hora_proceso","numero","url"
1,4,0,3,55,8,99,1,20,1,19,0,10,0,11,0,"2019-05-12 22:50:01","1153","http://www.datosoficiales.com/resultados/CO/1/112/100/1153/GOB.json"
3,2,1,9,58,7,98,4,18,0,12,2,4,0,3,3,"2019-05-12 21:35:02","1154","http://www.datosoficiales.com/resultados/CO/1/112/101/1154/GOB.json"
1,1,0,8,67,15,99,5,17,0,15,0,5,0,8,1,"2019-05-12 22:30:01","1155","http://www.datosoficiales.com/resultados/CO/1/112/101/1155/GOB.json"
3,6,1,4,48,8,98,7,33,1,12,3,11,0,9,0,"2019-05-12 23:10:01","1156","http://www.datosoficiales.com/resultados/CO/1/112/101/1156/GOB.json"
0,2,0,6,53,14,113,5,17,0,16,1,9,0,3,10,"2019-05-12 22:55:02","1157","http://www.datosoficiales.com/resultados/CO/1/112/101/1157/GOB.json"
0,7,0,0,73,9,87,0,23,2,11,1,11,0,6,0,"2019-05-13 00:00:01","1158","http://www.datosoficiales.com/resultados/CO/1/112/101/1158/GOB.json"
1,4,0,6,60,10,122,2,20,0,12,1,6,0,3,0,"2019-05-12 22:35:01","1159","http://www.datosoficiales.com/resultados/CO/1/112/101/1159/GOB.json"
2,7,2,9,56,10,104,4,18,1,7,0,10,0,7,4,"2019-05-12 23:40:01","1160","http://www.datosoficiales.com/resultados/CO/1/112/101/1160/GOB.json"
4,5,0,4,57,16,100,0,15,0,20,0,13,0,4,0,"2019-05-12 22:35:01","1161","http://www.datosoficiales.com/resultados/CO/1/112/102/1161/GOB.json"
2,5,1,4,55,8,113,6,30,1,18,0,3,0,7,0,"2019-05-12 23:00:01","1162","http://www.datosoficiales.com/resultados/CO/1/112/102/1162/GOB.json"
2,4,2,3,61,11,91,2,22,1,17,0,6,0,7,3,"2019-05-12 23:00:01","1163","http://www.datosoficiales.com/resultados/CO/1/112/102/1163/GOB.json"
1,3,2,3,71,11,82,0,24,0,9,0,13,0,11,4,"2019-05-12 23:20:01","1164","http://www.datosoficiales.com/resultados/CO/1/112/102/1164/GOB.json"
2,8,1,4,53,19,106,3,23,0,14,0,4,0,5,0,"2019-05-12 23:00:01","1165","http://www.datosoficiales.com/resultados/CO/1/112/102/1165/GOB.json"
3,3,0,5,66,11,89,1,20,0,14,0,13,0,11,0,"2019-05-12 23:45:01","1166","http://www.datosoficiales.com/resultados/CO/1/112/102/1166/GOB.json"
1,3,0,5,61,14,111,2,19,0,18,2,7,0,10,0,"2019-05-12 23:15:01","1167","http://www.datosoficiales.com/resultados/CO/1/112/102/1167/GOB.json"
4,7,1,6,76,13,97,0,26,0,12,0,13,0,7,2,"2019-05-12 23:35:01","1168","http://www.datosoficiales.com/resultados/CO/1/112/102/1168/GOB.json"
