"151","166","194","50","67","72","901","915","921","BLC","IMP","OBS","hora_proceso","numero","url"
85,18,2,4,15,71,18,9,13,8,0,0,"2023-09-03 18:40:02","38","https://rincondelossauces.datosoficiales.com/resultados/RS/776/38/CON.json"
98,14,3,1,22,69,14,5,11,9,0,0,"2023-09-03 18:40:02","39","https://rincondelossauces.datosoficiales.com/resultados/RS/776/39/CON.json"
81,11,7,1,20,81,23,5,4,6,0,0,"2023-09-03 18:40:02","40","https://rincondelossauces.datosoficiales.com/resultados/RS/776/40/CON.json"
104,9,4,3,23,81,17,8,8,7,0,0,"2023-09-03 18:40:02","41","https://rincondelossauces.datosoficiales.com/resultados/RS/776/41/CON.json"
85,15,3,8,12,93,16,8,5,10,0,0,"2023-09-03 18:40:02","42","https://rincondelossauces.datosoficiales.com/resultados/RS/776/42/CON.json"
87,17,5,3,25,71,11,6,7,3,0,0,"2023-09-03 18:40:02","43","https://rincondelossauces.datosoficiales.com/resultados/RS/776/43/CON.json"
119,10,2,3,21,81,10,8,6,7,0,0,"2023-09-03 18:40:02","44","https://rincondelossauces.datosoficiales.com/resultados/RS/776/44/CON.json"
101,12,3,3,23,85,9,7,7,9,0,0,"2023-09-03 18:40:02","45","https://rincondelossauces.datosoficiales.com/resultados/RS/776/45/CON.json"
107,14,1,4,15,80,15,12,7,7,0,1,"2023-09-03 18:40:02","46","https://rincondelossauces.datosoficiales.com/resultados/RS/776/46/CON.json"
85,13,3,2,22,75,15,8,13,5,0,0,"2023-09-03 18:55:01","47","https://rincondelossauces.datosoficiales.com/resultados/RS/806/47/CON.json"
93,12,6,8,22,89,15,2,9,7,0,0,"2023-09-03 18:55:01","48","https://rincondelossauces.datosoficiales.com/resultados/RS/806/48/CON.json"
91,11,2,1,29,78,12,9,6,5,0,1,"2023-09-03 18:55:01","49","https://rincondelossauces.datosoficiales.com/resultados/RS/806/49/CON.json"
94,12,4,1,34,76,21,9,4,8,0,0,"2023-09-03 18:55:01","50","https://rincondelossauces.datosoficiales.com/resultados/RS/806/50/CON.json"
104,10,4,6,28,84,16,8,8,5,0,0,"2023-09-03 18:55:01","51","https://rincondelossauces.datosoficiales.com/resultados/RS/806/51/CON.json"
101,8,2,6,22,74,14,8,12,9,0,0,"2023-09-03 18:55:01","52","https://rincondelossauces.datosoficiales.com/resultados/RS/806/52/CON.json"
