"151","166","194","50","67","72","901","915","921","BLC","IMP","OBS","hora_proceso","numero","url"
93,13,2,2,20,72,17,8,10,6,0,0,"2023-09-03 18:40:02","38","https://rincondelossauces.datosoficiales.com/resultados/RS/776/38/INT.json"
100,14,2,2,24,67,17,4,9,7,0,0,"2023-09-03 18:40:02","39","https://rincondelossauces.datosoficiales.com/resultados/RS/776/39/INT.json"
86,12,8,0,19,79,18,6,4,7,0,0,"2023-09-03 18:40:02","40","https://rincondelossauces.datosoficiales.com/resultados/RS/776/40/INT.json"
108,8,4,3,26,81,16,8,4,6,0,0,"2023-09-03 18:40:02","41","https://rincondelossauces.datosoficiales.com/resultados/RS/776/41/INT.json"
87,12,3,5,19,95,13,10,5,6,0,0,"2023-09-03 18:40:02","42","https://rincondelossauces.datosoficiales.com/resultados/RS/776/42/INT.json"
93,15,4,2,28,70,6,8,6,3,0,0,"2023-09-03 18:40:02","43","https://rincondelossauces.datosoficiales.com/resultados/RS/776/43/INT.json"
124,8,2,4,23,80,10,6,7,3,0,0,"2023-09-03 18:40:02","44","https://rincondelossauces.datosoficiales.com/resultados/RS/776/44/INT.json"
106,10,2,2,25,77,16,6,6,9,0,0,"2023-09-03 18:40:02","45","https://rincondelossauces.datosoficiales.com/resultados/RS/776/45/INT.json"
112,11,0,4,19,75,13,12,10,6,0,1,"2023-09-03 18:40:02","46","https://rincondelossauces.datosoficiales.com/resultados/RS/776/46/INT.json"
86,11,3,1,27,74,17,11,8,3,0,0,"2023-09-03 18:55:01","47","https://rincondelossauces.datosoficiales.com/resultados/RS/806/47/INT.json"
98,12,7,6,26,86,13,5,5,5,0,0,"2023-09-03 18:55:01","48","https://rincondelossauces.datosoficiales.com/resultados/RS/806/48/INT.json"
94,11,3,3,32,75,12,6,5,3,0,1,"2023-09-03 18:55:01","49","https://rincondelossauces.datosoficiales.com/resultados/RS/806/49/INT.json"
96,12,4,2,32,78,22,7,4,6,0,0,"2023-09-03 18:55:01","50","https://rincondelossauces.datosoficiales.com/resultados/RS/806/50/INT.json"
108,12,4,5,34,78,14,6,5,7,0,0,"2023-09-03 18:55:01","51","https://rincondelossauces.datosoficiales.com/resultados/RS/806/51/INT.json"
99,3,5,3,32,70,19,8,9,8,0,0,"2023-09-03 18:55:01","52","https://rincondelossauces.datosoficiales.com/resultados/RS/806/52/INT.json"
