"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia de Río Negro","RN"
"Departamento","Alto Valle Centro","RN.1"
"Localidad","Cerro Policia","RN.1.2848"
"Establecimiento","Escuela Primaria N 155","RN.1.2903.11"
"Mesa","1069","RN.1.2903.11.1069"
"Mesa","1070","RN.1.2903.11.1070"
"Mesa","1071","RN.1.2903.11.1071"
"Mesa","1072","RN.1.2903.11.1072"
"Mesa","1073","RN.1.2903.11.1073"
"Mesa","1074","RN.1.2903.11.1074"
"Establecimiento","Escuela Primaria N 168","RN.1.2903.12"
"Mesa","1149","RN.1.2903.12.1149"
"Mesa","1150","RN.1.2903.12.1150"
"Mesa","1151","RN.1.2903.12.1151"
"Mesa","1152","RN.1.2903.12.1152"
"Mesa","1153","RN.1.2903.12.1153"
"Mesa","1154","RN.1.2903.12.1154"
"Establecimiento","Escuela Primaria N 169","RN.1.2903.13"
"Mesa","1123","RN.1.2903.13.1123"
"Mesa","1124","RN.1.2903.13.1124"
"Mesa","1125","RN.1.2903.13.1125"
"Mesa","1126","RN.1.2903.13.1126"
"Mesa","1127","RN.1.2903.13.1127"
"Establecimiento","Escuela Primaria N 223","RN.1.2903.14"
"Mesa","1196","RN.1.2903.14.1196"
"Mesa","1197","RN.1.2903.14.1197"
"Mesa","1198","RN.1.2903.14.1198"
"Mesa","1199","RN.1.2903.14.1199"
"Mesa","1200","RN.1.2903.14.1200"
"Mesa","1201","RN.1.2903.14.1201"
"Mesa","1202","RN.1.2903.14.1202"
"Establecimiento","Escuela Primaria N 238","RN.1.2903.15"
"Mesa","1239","RN.1.2903.15.1239"
"Mesa","1240","RN.1.2903.15.1240"
"Mesa","1241","RN.1.2903.15.1241"
"Mesa","1242","RN.1.2903.15.1242"
"Mesa","1243","RN.1.2903.15.1243"
"Mesa","1244","RN.1.2903.15.1244"
"Mesa","1245","RN.1.2903.15.1245"
"Mesa","1246","RN.1.2903.15.1246"
"Establecimiento","Escuela Primaria N 253","RN.1.2903.16"
"Mesa","1108","RN.1.2903.16.1108"
"Mesa","1109","RN.1.2903.16.1109"
"Mesa","1110","RN.1.2903.16.1110"
"Mesa","1111","RN.1.2903.16.1111"
"Mesa","1112","RN.1.2903.16.1112"
"Mesa","1113","RN.1.2903.16.1113"
"Mesa","1114","RN.1.2903.16.1114"
"Establecimiento","Escuela Primaria N 274","RN.1.2903.17"
"Mesa","1169","RN.1.2903.17.1169"
"Mesa","1170","RN.1.2903.17.1170"
"Mesa","1171","RN.1.2903.17.1171"
"Mesa","1172","RN.1.2903.17.1172"
"Mesa","1173","RN.1.2903.17.1173"
"Mesa","1174","RN.1.2903.17.1174"
"Establecimiento","Escuela Primaria N 275","RN.1.2903.18"
"Mesa","1221","RN.1.2903.18.1221"
"Mesa","1222","RN.1.2903.18.1222"
"Mesa","1223","RN.1.2903.18.1223"
"Mesa","1224","RN.1.2903.18.1224"
"Mesa","1225","RN.1.2903.18.1225"
"Mesa","1226","RN.1.2903.18.1226"
"Mesa","1227","RN.1.2903.18.1227"
"Mesa","1228","RN.1.2903.18.1228"
"Mesa","1229","RN.1.2903.18.1229"
