"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia del Neuquén","NE"
"Departamento","Confluencia","NE.1"
"Localidad","Cutral Co","NE.1.10"
"Mesa","42","NE.1.22.100.42"
"Establecimiento","GIMNASIO - E.P.E.T. 20","NE.1.22.101"
"Mesa","302","NE.1.22.101.302"
"Mesa","303","NE.1.22.101.303"
"Mesa","304","NE.1.22.101.304"
"Mesa","305","NE.1.22.101.305"
"Mesa","306","NE.1.22.101.306"
"Mesa","307","NE.1.22.101.307"
"Mesa","308","NE.1.22.101.308"
"Establecimiento","GIMNASIO - C.P.E.M 26","NE.1.22.102"
"Mesa","416","NE.1.22.102.416"
"Mesa","417","NE.1.22.102.417"
"Mesa","418","NE.1.22.102.418"
"Mesa","419","NE.1.22.102.419"
"Mesa","420","NE.1.22.102.420"
"Mesa","421","NE.1.22.102.421"
"Mesa","422","NE.1.22.102.422"
"Mesa","423","NE.1.22.102.423"
"Establecimiento","COLEGIO A.M.E.N","NE.1.22.103"
"Mesa","133","NE.1.22.103.133"
"Mesa","134","NE.1.22.103.134"
"Mesa","135","NE.1.22.103.135"
"Mesa","136","NE.1.22.103.136"
"Mesa","137","NE.1.22.103.137"
"Mesa","138","NE.1.22.103.138"
"Mesa","139","NE.1.22.103.139"
"Establecimiento","COLEGIO ADVENTISTA NEUQUEN","NE.1.22.104"
"Mesa","157","NE.1.22.104.157"
"Mesa","158","NE.1.22.104.158"
"Mesa","159","NE.1.22.104.159"
"Mesa","160","NE.1.22.104.160"
"Mesa","161","NE.1.22.104.161"
"Mesa","162","NE.1.22.104.162"
"Mesa","163","NE.1.22.104.163"
"Establecimiento","C.P.E.M N° 69","NE.1.22.105"
"Mesa","478","NE.1.22.105.478"
"Mesa","479","NE.1.22.105.479"
"Mesa","480","NE.1.22.105.480"
"Mesa","481","NE.1.22.105.481"
"Mesa","482","NE.1.22.105.482"
"Mesa","483","NE.1.22.105.483"
"Mesa","484","NE.1.22.105.484"
"Establecimiento","ESCUELA 356","NE.1.22.106"
"Mesa","604","NE.1.22.106.604"
"Mesa","605","NE.1.22.106.605"
"Mesa","606","NE.1.22.106.606"
"Mesa","607","NE.1.22.106.607"
"Mesa","608","NE.1.22.106.608"
"Mesa","609","NE.1.22.106.609"
"Establecimiento","SAF B. SAN LORENZO","NE.1.22.107"
"Mesa","584","NE.1.22.107.584"
"Mesa","585","NE.1.22.107.585"
"Mesa","586","NE.1.22.107.586"
"Mesa","587","NE.1.22.107.587"
"Mesa","588","NE.1.22.107.588"
"Mesa","589","NE.1.22.107.589"
"Establecimiento","COL. MARIA AUXILIADORA","NE.1.22.11"
"Mesa","226","NE.1.22.11.226"
"Mesa","227","NE.1.22.11.227"
"Mesa","228","NE.1.22.11.228"
"Mesa","229","NE.1.22.11.229"
"Mesa","230","NE.1.22.11.230"
"Mesa","231","NE.1.22.11.231"
"Mesa","232","NE.1.22.11.232"
"Mesa","233","NE.1.22.11.233"
"Establecimiento","C.P.E.M. 53","NE.1.22.12"
"Mesa","234","NE.1.22.12.234"
"Mesa","235","NE.1.22.12.235"
"Mesa","236","NE.1.22.12.236"
"Mesa","237","NE.1.22.12.237"
"Mesa","238","NE.1.22.12.238"
"Mesa","239","NE.1.22.12.239"
"Mesa","240","NE.1.22.12.240"
"Establecimiento","ESCUELA 4","NE.1.22.13"
"Mesa","181","NE.1.22.13.181"
"Mesa","182","NE.1.22.13.182"
