"1","151","166","190","191","50","682","683","684","863","868","883","884","885","889","891","895","901","915","917","918","919","920","922","923","924","925","BLC","IMP","OBS","hora_proceso","numero","url"
4,12,4,30,40,0,18,6,3,3,5,5,2,24,5,1,5,6,7,3,4,2,15,14,5,1,4,10,0,0,"2023-09-03 18:40:01","74","https://plottier.datosoficiales.com/resultados/PL/67/74/CON.json"
1,7,2,40,44,3,17,4,7,4,6,2,9,23,6,2,6,6,8,5,1,1,10,9,8,6,3,9,0,0,"2023-09-03 18:40:01","75","https://plottier.datosoficiales.com/resultados/PL/67/75/CON.json"
2,8,2,32,57,8,20,11,6,4,9,6,3,22,2,4,5,7,4,3,4,2,14,2,11,4,4,5,0,0,"2023-09-03 18:50:01","76","https://plottier.datosoficiales.com/resultados/PL/67/76/CON.json"
6,13,2,32,43,7,28,7,11,2,5,8,8,23,4,3,6,8,2,3,3,2,5,7,6,3,4,8,0,0,"2023-09-03 18:40:01","77","https://plottier.datosoficiales.com/resultados/PL/67/77/CON.json"
3,5,1,33,70,7,16,7,6,2,2,5,3,18,5,2,9,4,4,6,3,1,10,11,3,5,5,8,0,0,"2023-09-03 18:50:01","78","https://plottier.datosoficiales.com/resultados/PL/67/78/CON.json"
1,8,4,42,46,8,7,25,6,4,8,2,14,25,2,3,9,2,4,10,5,2,6,3,4,2,5,7,0,0,"2023-09-03 18:40:01","79","https://plottier.datosoficiales.com/resultados/PL/67/79/CON.json"
1,6,3,50,45,8,21,5,9,2,8,1,5,18,4,3,11,7,6,5,4,0,6,5,7,3,0,12,0,0,"2023-09-03 18:45:01","37","https://plottier.datosoficiales.com/resultados/PL/68/37/CON.json"
3,9,2,45,46,4,22,7,5,13,4,5,4,18,1,6,3,6,11,7,1,0,8,7,7,4,4,10,0,0,"2023-09-03 18:40:01","38","https://plottier.datosoficiales.com/resultados/PL/68/38/CON.json"
2,10,4,33,39,9,13,12,5,6,7,3,6,20,7,2,11,9,4,2,1,2,12,9,4,3,8,10,0,0,"2023-09-03 18:45:01","39","https://plottier.datosoficiales.com/resultados/PL/68/39/CON.json"
1,7,4,51,52,2,23,5,3,2,3,6,4,13,2,5,6,7,8,8,4,2,16,4,9,4,3,10,0,0,"2023-09-03 18:40:01","40","https://plottier.datosoficiales.com/resultados/PL/68/40/CON.json"
1,19,0,32,45,1,17,13,3,3,2,2,7,28,3,4,6,9,5,4,1,0,11,8,6,8,4,11,0,0,"2023-09-03 18:40:01","41","https://plottier.datosoficiales.com/resultados/PL/68/41/CON.json"
