"1","151","166","190","191","50","682","683","684","863","868","883","884","885","889","891","895","901","915","917","918","920","922","923","924","925","BLC","IMP","OBS","hora_proceso","numero","url"
3,11,2,36,36,0,22,6,4,5,4,6,2,22,5,2,11,6,4,3,2,20,10,5,2,4,5,0,0,"2023-09-03 18:40:01","74","https://plottier.datosoficiales.com/resultados/PL/67/74/INT.json"
0,7,1,41,44,2,19,7,7,1,13,1,7,23,7,2,9,7,7,7,2,10,7,5,6,1,6,0,0,"2023-09-03 18:40:01","75","https://plottier.datosoficiales.com/resultados/PL/67/75/INT.json"
0,8,1,36,58,7,22,9,6,4,9,8,2,19,2,5,8,7,4,4,4,14,3,9,4,5,3,0,0,"2023-09-03 18:50:01","76","https://plottier.datosoficiales.com/resultados/PL/67/76/INT.json"
1,9,4,35,38,3,29,7,12,2,6,10,8,23,6,3,8,10,2,5,4,6,6,5,4,5,8,0,0,"2023-09-03 18:40:01","77","https://plottier.datosoficiales.com/resultados/PL/67/77/INT.json"
4,5,0,34,71,7,17,6,6,4,4,4,4,17,4,2,8,6,5,7,4,9,9,3,3,5,6,0,0,"2023-09-03 18:50:01","78","https://plottier.datosoficiales.com/resultados/PL/67/78/INT.json"
2,7,3,46,50,6,8,22,8,2,11,2,11,23,2,2,12,4,1,10,5,7,2,5,2,4,7,0,0,"2023-09-03 18:40:01","79","https://plottier.datosoficiales.com/resultados/PL/67/79/INT.json"
0,7,3,52,43,8,19,5,8,1,9,2,3,20,5,4,12,8,6,8,4,7,2,7,3,0,9,0,0,"2023-09-03 18:45:01","37","https://plottier.datosoficiales.com/resultados/PL/68/37/INT.json"
6,6,2,45,47,3,23,7,9,5,5,4,5,14,1,7,4,5,15,9,1,8,5,7,5,3,11,0,0,"2023-09-03 18:40:01","38","https://plottier.datosoficiales.com/resultados/PL/68/38/INT.json"
2,9,2,38,37,7,16,11,8,5,10,4,7,18,2,2,11,7,5,3,2,10,8,6,5,6,12,0,0,"2023-09-03 18:45:01","39","https://plottier.datosoficiales.com/resultados/PL/68/39/INT.json"
1,7,4,55,53,2,23,4,5,1,4,6,5,11,4,7,5,5,7,9,3,15,5,5,7,3,8,0,0,"2023-09-03 18:40:01","40","https://plottier.datosoficiales.com/resultados/PL/68/40/INT.json"
1,15,2,40,48,3,12,14,7,2,4,4,4,20,2,4,6,9,8,4,3,12,6,4,9,2,8,0,0,"2023-09-03 18:40:01","41","https://plottier.datosoficiales.com/resultados/PL/68/41/INT.json"
1,6,2,36,40,6,28,5,10,4,14,7,4,16,4,6,7,9,9,7,5,8,8,4,4,2,3,0,0,"2023-09-03 18:40:01","42","https://plottier.datosoficiales.com/resultados/PL/68/42/INT.json"
1,5,2,38,56,3,24,8,5,3,9,7,4,16,0,6,6,7,7,5,2,18,4,4,1,7,11,0,0,"2023-09-03 18:40:01","43","https://plottier.datosoficiales.com/resultados/PL/68/43/INT.json"
0,13,1,28,59,1,22,8,5,5,10,7,7,18,2,3,9,10,5,7,3,16,3,9,6,2,3,0,0,"2023-09-03 18:40:01","44","https://plottier.datosoficiales.com/resultados/PL/68/44/INT.json"
1,14,3,36,68,6,18,5,9,3,4,3,6,17,1,9,6,10,2,6,0,10,6,7,1,3,8,0,0,"2023-09-03 18:40:01","45","https://plottier.datosoficiales.com/resultados/PL/68/45/INT.json"
1,7,2,34,49,3,20,8,6,2,4,8,6,22,1,5,13,3,6,7,5,9,12,3,7,3,8,0,0,"2023-09-03 18:45:01","46","https://plottier.datosoficiales.com/resultados/PL/68/46/INT.json"
5,16,3,35,37,6,25,2,15,2,3,4,8,10,3,2,6,6,6,7,4,11,6,5,5,10,6,0,0,"2023-09-03 18:40:01","1","https://plottier.datosoficiales.com/resultados/PL/69/1/INT.json"
3,6,1,38,45,3,20,12,17,2,5,5,1,17,1,4,11,3,6,5,4,12,4,11,2,1,9,0,0,"2023-09-03 18:40:01","2","https://plottier.datosoficiales.com/resultados/PL/69/2/INT.json"
7,7,4,18,48,5,19,4,17,1,10,7,6,15,2,7,3,10,3,3,5,10,8,5,5,3,5,0,0,"2023-09-03 18:40:01","3","https://plottier.datosoficiales.com/resultados/PL/69/3/INT.json"
2,6,4,24,42,6,26,11,21,2,8,5,4,12,0,7,5,8,4,3,4,7,7,6,2,3,11,0,0,"2023-09-03 18:40:01","4","https://plottier.datosoficiales.com/resultados/PL/69/4/INT.json"
2,4,4,40,30,2,28,5,11,1,7,6,9,14,7,5,5,5,5,7,3,13,6,4,2,5,10,0,0,"2023-09-03 18:40:01","5","https://plottier.datosoficiales.com/resultados/PL/69/5/INT.json"
1,10,1,34,52,8,23,8,9,2,10,5,4,24,2,6,8,6,3,11,4,5,7,3,1,3,7,0,1,"2023-09-03 18:40:01","100","https://plottier.datosoficiales.com/resultados/PL/695/100/INT.json"
2,9,1,35,32,5,18,5,9,1,14,7,6,22,1,3,10,11,7,6,5,9,4,3,1,4,5,0,0,"2023-09-03 18:40:01","97","https://plottier.datosoficiales.com/resultados/PL/695/97/INT.json"
0,6,3,47,42,1,21,4,9,0,8,6,4,17,1,6,10,6,7,5,3,20,4,0,2,2,10,0,0,"2023-09-03 18:40:01","98","https://plottier.datosoficiales.com/resultados/PL/695/98/INT.json"
2,10,5,26,47,2,21,7,8,4,11,2,7,26,3,1,16,3,6,9,5,8,9,7,1,2,7,0,0,"2023-09-03 18:40:01","99","https://plottier.datosoficiales.com/resultados/PL/695/99/INT.json"
1,5,3,39,40,3,17,5,10,2,9,6,6,19,3,4,6,10,9,9,2,9,13,4,5,4,10,0,0,"2023-09-03 18:40:01","10","https://plottier.datosoficiales.com/resultados/PL/70/10/INT.json"
1,9,2,39,43,6,31,7,6,2,8,6,3,14,3,10,6,11,6,3,3,5,4,6,2,7,6,0,0,"2023-09-03 18:40:01","6","https://plottier.datosoficiales.com/resultados/PL/70/6/INT.json"
1,5,2,28,36,4,19,6,8,0,8,5,4,17,6,6,11,18,4,4,5,12,6,5,0,5,15,0,2,"2023-09-03 18:40:01","7","https://plottier.datosoficiales.com/resultados/PL/70/7/INT.json"
4,9,3,16,47,3,15,5,23,3,4,9,6,20,2,0,9,9,6,2,6,12,9,13,1,3,9,0,0,"2023-09-03 18:40:01","8","https://plottier.datosoficiales.com/resultados/PL/70/8/INT.json"
1,10,4,33,40,5,17,5,12,1,9,8,6,19,3,3,8,5,8,4,5,9,11,6,3,7,10,0,0,"2023-09-03 18:40:01","9","https://plottier.datosoficiales.com/resultados/PL/70/9/INT.json"
1,9,2,41,46,11,17,5,6,4,11,7,5,12,5,7,4,3,7,6,4,12,6,4,3,7,7,0,0,"2023-09-03 18:50:01","47","https://plottier.datosoficiales.com/resultados/PL/71/47/INT.json"
1,7,1,50,44,4,20,6,7,6,3,7,6,11,2,2,12,15,3,4,6,7,8,9,6,4,7,0,1,"2023-09-03 18:45:01","48","https://plottier.datosoficiales.com/resultados/PL/71/48/INT.json"
5,6,5,39,32,5,12,7,7,5,2,3,6,19,6,4,6,6,8,7,16,14,6,7,3,3,9,0,0,"2023-09-03 18:45:01","49","https://plottier.datosoficiales.com/resultados/PL/71/49/INT.json"
2,4,3,40,44,6,23,11,5,0,9,3,7,22,2,7,5,5,4,1,7,6,7,2,7,1,14,0,0,"2023-09-03 18:50:01","50","https://plottier.datosoficiales.com/resultados/PL/71/50/INT.json"
0,8,2,38,49,9,23,2,14,4,4,3,3,23,5,9,5,11,4,12,6,10,7,7,4,4,4,0,0,"2023-09-03 18:50:01","51","https://plottier.datosoficiales.com/resultados/PL/71/51/INT.json"
1,9,3,41,42,6,22,7,6,5,4,3,3,27,6,8,4,7,6,4,3,7,7,3,4,9,5,0,0,"2023-09-03 18:40:01","52","https://plottier.datosoficiales.com/resultados/PL/71/52/INT.json"
1,12,2,29,46,9,24,7,9,2,8,3,3,16,6,11,10,5,16,9,4,14,7,3,5,4,4,0,0,"2023-09-03 18:50:01","53","https://plottier.datosoficiales.com/resultados/PL/71/53/INT.json"
3,17,0,41,42,4,31,11,9,0,9,6,4,17,2,4,6,7,11,5,3,4,12,7,0,6,4,0,0,"2023-09-03 18:50:01","54","https://plottier.datosoficiales.com/resultados/PL/71/54/INT.json"
3,11,3,50,47,5,17,5,6,4,6,4,3,20,7,6,9,6,10,10,5,8,4,12,3,9,6,0,0,"2023-09-03 18:50:01","55","https://plottier.datosoficiales.com/resultados/PL/71/55/INT.json"
2,10,6,35,47,5,17,3,4,4,12,2,2,17,5,7,5,14,7,14,5,12,5,14,0,4,8,0,0,"2023-09-03 18:50:01","56","https://plottier.datosoficiales.com/resultados/PL/71/56/INT.json"
3,5,4,31,46,4,14,8,23,1,7,9,3,19,3,16,10,5,6,5,2,9,6,3,3,7,9,0,0,"2023-09-03 18:40:01","24","https://plottier.datosoficiales.com/resultados/PL/72/24/INT.json"
2,6,4,33,41,5,22,4,20,0,12,13,5,9,1,5,4,13,5,6,3,17,5,9,0,4,6,0,0,"2023-09-03 18:40:01","25","https://plottier.datosoficiales.com/resultados/PL/72/25/INT.json"
5,11,3,20,49,5,17,9,22,3,13,8,6,13,0,7,9,9,3,2,5,8,5,2,5,7,6,0,0,"2023-09-03 18:40:01","26","https://plottier.datosoficiales.com/resultados/PL/72/26/INT.json"
2,8,4,22,29,4,24,11,16,1,10,3,6,13,3,10,13,11,3,7,4,10,3,7,8,5,5,0,0,"2023-09-03 18:40:01","27","https://plottier.datosoficiales.com/resultados/PL/72/27/INT.json"
