"1","180","190","191","192","193","23","40","41","50","64","67","677","678","681","72","842","847","863","914","BLC","IMP","OBS","hora_proceso","numero","url"
15,6,16,12,8,5,10,10,2,4,6,10,89,5,6,22,10,13,1,9,2,0,0,"2023-07-23 19:00:01","666","https://cutralco.datosoficiales.com/resultados/CC/15/666/CNJ.json"
22,8,14,24,11,3,5,7,3,3,3,6,61,8,4,24,12,7,8,17,7,0,0,"2023-07-23 19:00:01","667","https://cutralco.datosoficiales.com/resultados/CC/15/667/CNJ.json"
19,7,5,18,21,4,10,11,0,7,6,7,71,12,8,14,7,13,4,10,8,0,0,"2023-07-23 19:00:01","668","https://cutralco.datosoficiales.com/resultados/CC/15/668/CNJ.json"
11,7,11,21,8,3,8,9,0,4,14,6,82,6,10,10,12,6,8,11,5,0,0,"2023-07-23 19:00:01","669","https://cutralco.datosoficiales.com/resultados/CC/15/669/CNJ.json"
12,7,17,16,8,12,3,6,1,1,8,11,79,9,7,18,10,8,1,8,5,0,0,"2023-07-23 19:00:01","670","https://cutralco.datosoficiales.com/resultados/CC/15/670/CNJ.json"
11,11,10,18,11,13,4,8,4,4,9,8,82,8,9,16,8,12,0,7,7,0,0,"2023-07-23 19:10:01","671","https://cutralco.datosoficiales.com/resultados/CC/15/671/CNJ.json"
7,9,10,12,15,7,4,8,3,5,13,7,89,7,9,15,7,11,5,8,8,0,0,"2023-07-23 19:10:01","672","https://cutralco.datosoficiales.com/resultados/CC/15/672/CNJ.json"
13,4,3,18,7,11,4,6,2,3,4,6,85,9,16,14,16,12,3,11,7,0,0,"2023-07-23 19:10:01","673","https://cutralco.datosoficiales.com/resultados/CC/15/673/CNJ.json"
19,6,17,23,13,2,5,6,0,6,7,6,64,8,9,12,11,21,3,20,7,0,0,"2023-07-23 19:10:01","674","https://cutralco.datosoficiales.com/resultados/CC/15/674/CNJ.json"
9,6,13,23,10,6,0,15,5,2,4,16,95,4,2,21,8,13,6,14,9,0,0,"2023-07-23 18:55:01","728","https://cutralco.datosoficiales.com/resultados/CC/16/728/CNJ.json"
8,8,17,16,8,9,3,6,1,4,8,22,81,8,6,19,16,15,3,14,6,0,0,"2023-07-23 19:30:02","729","https://cutralco.datosoficiales.com/resultados/CC/16/729/CNJ.json"
21,4,12,15,8,4,3,18,1,3,9,13,89,10,9,15,13,7,1,16,6,0,0,"2023-07-23 19:15:01","730","https://cutralco.datosoficiales.com/resultados/CC/16/730/CNJ.json"
20,4,6,16,11,2,6,8,3,2,6,17,83,14,6,14,10,16,3,18,6,0,0,"2023-07-23 19:15:01","731","https://cutralco.datosoficiales.com/resultados/CC/16/731/CNJ.json"
16,7,6,18,14,6,5,10,1,3,8,15,92,8,7,14,13,11,1,14,10,0,0,"2023-07-23 19:10:01","732","https://cutralco.datosoficiales.com/resultados/CC/16/732/CNJ.json"
24,6,14,18,9,4,5,16,0,3,5,16,95,10,3,15,3,14,2,12,7,0,0,"2023-07-23 18:55:01","733","https://cutralco.datosoficiales.com/resultados/CC/16/733/CNJ.json"
15,1,8,16,9,7,4,11,2,2,6,13,89,12,3,16,14,9,7,16,10,0,1,"2023-07-23 19:05:01","687","https://cutralco.datosoficiales.com/resultados/CC/2/687/CNJ.json"
