"1","180","190","191","192","193","23","40","41","50","64","67","677","678","681","72","842","847","863","914","BLC","IMP","OBS","hora_proceso","numero","url"
13,6,15,14,6,5,8,10,2,4,7,8,95,4,6,23,9,14,2,8,2,0,0,"2023-07-23 19:00:01","666","https://cutralco.datosoficiales.com/resultados/CC/15/666/INT.json"
21,8,15,23,12,3,5,6,2,3,3,6,64,7,6,26,11,9,7,15,5,0,0,"2023-07-23 19:00:01","667","https://cutralco.datosoficiales.com/resultados/CC/15/667/INT.json"
19,7,5,18,17,4,8,11,0,8,7,4,76,9,11,16,8,14,4,11,5,0,0,"2023-07-23 19:00:01","668","https://cutralco.datosoficiales.com/resultados/CC/15/668/INT.json"
12,8,9,23,4,3,8,9,0,4,14,4,82,7,10,12,10,8,8,12,5,0,0,"2023-07-23 19:00:01","669","https://cutralco.datosoficiales.com/resultados/CC/15/669/INT.json"
10,7,11,18,9,12,2,6,1,1,9,9,88,8,8,16,8,10,3,8,3,0,0,"2023-07-23 19:00:01","670","https://cutralco.datosoficiales.com/resultados/CC/15/670/INT.json"
12,10,8,18,9,11,5,10,3,4,9,9,89,7,11,16,7,11,0,6,5,0,0,"2023-07-23 19:10:01","671","https://cutralco.datosoficiales.com/resultados/CC/15/671/INT.json"
10,9,8,14,14,6,3,8,3,5,13,6,91,7,8,14,6,13,6,10,5,0,0,"2023-07-23 19:10:01","672","https://cutralco.datosoficiales.com/resultados/CC/15/672/INT.json"
12,5,4,19,8,7,3,8,1,3,3,7,87,7,17,15,15,13,4,11,5,0,0,"2023-07-23 19:10:01","673","https://cutralco.datosoficiales.com/resultados/CC/15/673/INT.json"
19,7,15,22,10,4,5,6,1,6,5,6,73,11,4,12,9,21,5,18,6,0,0,"2023-07-23 19:10:01","674","https://cutralco.datosoficiales.com/resultados/CC/15/674/INT.json"
9,6,11,22,10,6,0,15,6,2,4,15,102,3,1,21,8,15,5,13,7,0,0,"2023-07-23 18:55:01","728","https://cutralco.datosoficiales.com/resultados/CC/16/728/INT.json"
9,4,16,18,7,7,2,7,2,4,8,21,87,9,5,20,15,16,3,14,4,0,0,"2023-07-23 19:30:02","729","https://cutralco.datosoficiales.com/resultados/CC/16/729/INT.json"
