"1","151","166","180","190","191","192","193","23","40","41","50","64","67","673","674","675","72","74","842","863","882","883","901","908","914","915","BLC","IMP","OBS","REC","hora_proceso","numero","url"
3,40,2,1,6,14,8,7,5,22,2,5,3,15,54,3,2,16,14,3,4,4,1,5,10,4,3,17,0,0,0,"2023-04-16 20:35:01","717","https://neuquen.datosoficiales.com/resultados/NE/1/10/13/717/DIP.json"
2,49,3,3,5,5,5,2,6,12,5,4,7,17,49,4,6,19,22,1,2,4,2,3,8,4,4,15,0,0,2,"2023-04-16 20:25:01","718","https://neuquen.datosoficiales.com/resultados/NE/1/10/13/718/DIP.json"
2,27,6,6,5,9,4,4,5,21,7,3,8,25,65,6,5,25,14,1,0,1,2,4,5,2,6,4,0,0,0,"2023-04-16 21:40:01","719","https://neuquen.datosoficiales.com/resultados/NE/1/10/13/719/DIP.json"
2,43,5,5,4,11,4,7,2,22,5,3,9,11,51,9,7,15,15,5,2,3,2,2,7,5,3,6,0,0,0,"2023-04-16 20:10:01","720","https://neuquen.datosoficiales.com/resultados/NE/1/10/13/720/DIP.json"
2,31,1,4,5,14,3,7,8,12,6,2,10,10,50,6,13,14,10,3,2,4,0,3,12,6,3,14,0,0,0,"2023-04-16 20:00:01","721","https://neuquen.datosoficiales.com/resultados/NE/1/10/13/721/DIP.json"
8,41,2,4,7,13,6,5,3,21,0,8,8,15,44,5,5,15,18,2,5,3,1,8,10,3,2,13,0,0,0,"2023-04-16 20:40:01","722","https://neuquen.datosoficiales.com/resultados/NE/1/10/14/722/DIP.json"
3,46,0,2,2,13,1,9,2,20,5,5,5,15,43,4,7,25,16,2,1,4,2,4,6,4,3,8,0,0,0,"2023-04-16 20:40:01","723","https://neuquen.datosoficiales.com/resultados/NE/1/10/14/723/DIP.json"
0,41,1,2,9,9,7,4,4,20,1,4,4,24,47,5,1,17,19,3,3,2,4,5,6,2,3,12,0,5,0,"2023-04-16 20:40:01","724","https://neuquen.datosoficiales.com/resultados/NE/1/10/14/724/DIP.json"
5,34,3,9,8,16,5,9,2,18,3,6,5,16,37,8,5,12,22,3,0,4,2,7,14,5,1,12,0,0,0,"2023-04-16 20:40:01","725","https://neuquen.datosoficiales.com/resultados/NE/1/10/14/725/DIP.json"
2,32,5,9,6,14,3,7,3,20,3,3,7,21,62,3,5,15,19,4,4,4,3,3,8,4,3,11,0,0,3,"2023-04-16 20:50:01","726","https://neuquen.datosoficiales.com/resultados/NE/1/10/14/726/DIP.json"
3,41,2,3,8,16,7,3,3,21,7,4,1,16,47,2,6,10,12,4,2,6,2,6,13,2,2,12,0,0,1,"2023-04-16 20:40:01","727","https://neuquen.datosoficiales.com/resultados/NE/1/10/14/727/DIP.json"
4,39,2,3,5,14,9,6,3,23,6,6,5,15,51,4,6,14,21,5,3,7,1,4,4,2,1,9,0,1,7,"2023-04-16 20:15:01","728","https://neuquen.datosoficiales.com/resultados/NE/1/10/15/728/DIP.json"
3,44,0,5,7,11,8,9,2,11,3,5,9,9,58,12,6,16,19,2,1,4,1,5,8,1,4,9,0,0,1,"2023-04-16 20:15:01","729","https://neuquen.datosoficiales.com/resultados/NE/1/10/15/729/DIP.json"
