"1","151","166","180","190","191","192","193","23","40","41","50","64","67","673","674","675","72","74","842","858","863","865","867","880","882","883","887","900","901","903","905","907","908","910","911","912","913","914","915","BLC","IMP","OBS","REC","hora_proceso","numero","url"
7,33,5,8,6,12,8,4,6,3,3,3,11,4,10,12,4,,1,2,4,4,2,5,,9,,1,5,4,7,2,14,18,,,,,6,3,15,0,0,0,"2023-04-16 19:15:01","256","https://neuquen.datosoficiales.com/resultados/NE/1/22/10/256/INT.json"
6,47,3,2,6,9,6,4,4,10,1,3,13,2,5,6,6,,0,3,4,1,2,4,,6,,3,5,4,4,2,2,20,,,,,2,3,17,0,0,1,"2023-04-16 19:15:01","257","https://neuquen.datosoficiales.com/resultados/NE/1/22/10/257/INT.json"
1,33,8,9,4,8,7,7,6,3,3,5,16,4,6,17,11,,4,3,2,7,1,9,,4,,1,6,8,7,2,7,29,,,,,6,3,17,0,1,0,"2023-04-16 19:15:01","35","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/35/INT.json"
2,35,5,4,3,13,3,1,9,4,6,1,16,6,11,11,8,,1,2,0,6,2,1,,9,,2,8,8,8,2,16,22,,,,,7,3,15,0,0,0,"2023-04-16 19:15:01","36","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/36/INT.json"
4,39,5,5,4,9,7,4,7,3,2,1,15,2,9,16,9,,5,4,2,5,0,7,,8,,3,9,7,2,2,12,36,,,,,4,1,22,0,0,0,"2023-04-16 19:15:01","37","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/37/INT.json"
3,34,4,5,2,23,6,2,10,7,1,2,12,4,6,15,7,,3,1,1,8,1,5,,10,,4,13,8,4,2,14,24,,,,,4,2,18,0,0,0,"2023-04-16 19:15:01","38","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/38/INT.json"
3,41,6,7,3,9,8,3,8,9,2,5,13,1,3,14,9,,7,1,4,2,2,3,,7,,4,5,5,7,1,9,32,,,,,2,4,11,0,0,0,"2023-04-16 19:15:01","39","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/39/INT.json"
5,40,6,4,4,8,4,2,7,7,1,2,15,4,4,13,8,,2,1,1,6,2,2,,10,,1,6,7,3,3,14,32,,,,,6,4,13,0,0,0,"2023-04-16 19:15:01","40","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/40/INT.json"
3,34,1,3,5,4,5,5,8,8,6,3,7,5,7,12,9,,3,8,2,2,1,2,,7,,1,4,7,4,1,10,33,,,,,6,1,23,0,0,0,"2023-04-16 19:15:01","41","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/41/INT.json"
4,31,4,6,5,12,7,4,1,2,0,1,15,5,5,10,6,,3,2,1,4,1,8,,7,,3,4,3,3,3,13,29,,,,,4,5,17,0,0,0,"2023-04-16 19:15:01","42","https://neuquen.datosoficiales.com/resultados/NE/1/22/100/42/INT.json"
0,44,5,6,2,17,9,6,2,4,3,1,12,5,14,15,5,,3,3,2,8,2,4,,4,,5,2,7,6,2,10,26,,,,,5,2,17,0,0,0,"2023-04-16 19:20:01","302","https://neuquen.datosoficiales.com/resultados/NE/1/22/101/302/INT.json"
2,38,7,3,3,10,5,3,4,8,5,5,15,7,7,15,5,,2,5,4,2,6,5,,13,,3,5,4,8,4,10,31,,,,,8,1,19,0,0,0,"2023-04-16 19:20:01","303","https://neuquen.datosoficiales.com/resultados/NE/1/22/101/303/INT.json"
5,45,6,10,3,5,7,4,4,9,3,1,14,3,6,14,7,,6,6,4,7,0,3,,5,,4,7,7,3,2,16,31,,,,,3,4,21,0,0,0,"2023-04-16 19:25:01","304","https://neuquen.datosoficiales.com/resultados/NE/1/22/101/304/INT.json"
2,42,8,4,3,9,3,2,3,8,3,1,11,5,13,17,5,,7,4,1,4,4,2,,9,,6,8,10,6,2,15,30,,,,,4,3,22,0,1,0,"2023-04-16 19:25:01","305","https://neuquen.datosoficiales.com/resultados/NE/1/22/101/305/INT.json"
5,53,5,11,4,13,8,4,3,3,3,3,11,4,8,17,9,,6,4,4,5,2,4,,6,,6,7,12,5,2,11,20,,,,,8,2,17,0,1,0,"2023-04-16 19:20:01","306","https://neuquen.datosoficiales.com/resultados/NE/1/22/101/306/INT.json"
2,37,6,8,6,12,6,3,3,6,2,3,20,5,8,15,6,,6,6,0,7,1,5,,6,,6,5,4,7,4,10,32,,,,,3,6,19,0,1,0,"2023-04-16 19:20:01","307","https://neuquen.datosoficiales.com/resultados/NE/1/22/101/307/INT.json"
2,38,9,4,4,16,3,3,3,3,3,3,20,4,8,12,11,,3,4,6,4,3,5,,4,,2,0,7,0,5,5,34,,,,,4,5,22,0,0,0,"2023-04-16 19:20:01","308","https://neuquen.datosoficiales.com/resultados/NE/1/22/101/308/INT.json"
4,36,8,6,3,6,10,4,5,10,5,2,8,6,11,18,1,,8,6,2,2,3,2,,5,,2,6,9,9,3,10,27,,,,,8,6,21,0,1,0,"2023-04-16 19:35:01","416","https://neuquen.datosoficiales.com/resultados/NE/1/22/102/416/INT.json"
2,33,8,3,3,11,5,2,6,10,9,2,11,8,5,16,7,,8,2,4,5,2,5,,7,,9,9,5,5,3,10,24,,,,,4,5,25,0,0,2,"2023-04-16 19:35:01","417","https://neuquen.datosoficiales.com/resultados/NE/1/22/102/417/INT.json"
5,32,5,8,1,8,2,5,14,5,3,5,12,6,7,15,3,,4,3,1,5,3,5,,10,,4,11,12,9,5,16,28,,,,,4,8,28,0,0,0,"2023-04-16 19:35:01","418","https://neuquen.datosoficiales.com/resultados/NE/1/22/102/418/INT.json"
