"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Córdoba","CO"
"Departamento","Capital","CO.1"
"Mesa","330","CO.1.534.334.330"
"Mesa","331","CO.1.534.334.331"
"Mesa","332","CO.1.534.334.332"
"Mesa","333","CO.1.534.334.333"
"Mesa","334","CO.1.534.334.334"
"Mesa","335","CO.1.534.334.335"
"Mesa","336","CO.1.534.334.336"
"Mesa","337","CO.1.534.334.337"
"Establecimiento","ESC GRECIA","CO.1.534.335"
"Mesa","338","CO.1.534.335.338"
"Mesa","339","CO.1.534.335.339"
"Mesa","340","CO.1.534.335.340"
"Mesa","341","CO.1.534.335.341"
"Mesa","342","CO.1.534.335.342"
"Mesa","343","CO.1.534.335.343"
"Mesa","344","CO.1.534.335.344"
"Mesa","345","CO.1.534.335.345"
"Mesa","346","CO.1.534.335.346"
"Mesa","347","CO.1.534.335.347"
"Mesa","348","CO.1.534.335.348"
"Establecimiento","ESC PANAMERICANA","CO.1.534.336"
"Mesa","349","CO.1.534.336.349"
"Mesa","350","CO.1.534.336.350"
"Mesa","351","CO.1.534.336.351"
"Mesa","352","CO.1.534.336.352"
"Mesa","353","CO.1.534.336.353"
"Mesa","354","CO.1.534.336.354"
"Mesa","355","CO.1.534.336.355"
"Mesa","356","CO.1.534.336.356"
"Mesa","357","CO.1.534.336.357"
"Mesa","358","CO.1.534.336.358"
"Localidad","Colonia Lola (Circ. 5A)","CO.1.535"
"Establecimiento","ESC MUNICIPAL A GASTALDI","CO.1.535.337"
"Mesa","366","CO.1.535.337.366"
"Mesa","367","CO.1.535.337.367"
"Mesa","368","CO.1.535.337.368"
"Mesa","369","CO.1.535.337.369"
"Mesa","370","CO.1.535.337.370"
"Mesa","371","CO.1.535.337.371"
"Establecimiento","ESC ELENA LOPEZ LALLANA","CO.1.535.338"
"Mesa","372","CO.1.535.338.372"
"Mesa","373","CO.1.535.338.373"
"Mesa","374","CO.1.535.338.374"
"Mesa","375","CO.1.535.338.375"
"Mesa","376","CO.1.535.338.376"
"Mesa","377","CO.1.535.338.377"
"Mesa","378","CO.1.535.338.378"
"Mesa","379","CO.1.535.338.379"
"Mesa","380","CO.1.535.338.380"
"Mesa","381","CO.1.535.338.381"
"Localidad","Dean Funes (Circ. 5B)","CO.1.536"
"Establecimiento","ESC 9 DE JULIO","CO.1.536.339"
"Mesa","382","CO.1.536.339.382"
"Mesa","383","CO.1.536.339.383"
"Mesa","384","CO.1.536.339.384"
"Mesa","385","CO.1.536.339.385"
"Mesa","386","CO.1.536.339.386"
"Mesa","387","CO.1.536.339.387"
"Localidad","Empalme (Circ. 5C)","CO.1.537"
"Establecimiento","ESC JUAN M DE PUEYRREDON","CO.1.537.340"
"Mesa","404","CO.1.537.340.404"
"Mesa","405","CO.1.537.340.405"
"Mesa","406","CO.1.537.340.406"
"Mesa","407","CO.1.537.340.407"
"Mesa","408","CO.1.537.340.408"
"Mesa","409","CO.1.537.340.409"
"Mesa","410","CO.1.537.340.410"
"Mesa","411","CO.1.537.340.411"
"Establecimiento","ESC VICTOR MERCANTE","CO.1.537.341"
"Mesa","396","CO.1.537.341.396"
"Mesa","397","CO.1.537.341.397"
"Mesa","398","CO.1.537.341.398"
"Mesa","399","CO.1.537.341.399"
"Mesa","400","CO.1.537.341.400"
"Mesa","401","CO.1.537.341.401"
"Mesa","402","CO.1.537.341.402"
"Mesa","403","CO.1.537.341.403"
"Establecimiento","ESC PROVINCIA DE LA RIOJA","CO.1.537.342"
"Mesa","388","CO.1.537.342.388"
"Mesa","389","CO.1.537.342.389"
"Mesa","390","CO.1.537.342.390"
"Mesa","391","CO.1.537.342.391"
"Mesa","392","CO.1.537.342.392"
"Mesa","393","CO.1.537.342.393"
"Mesa","394","CO.1.537.342.394"
"Mesa","395","CO.1.537.342.395"
"Establecimiento","INST FRAY JUSTO STA MARÍA DE ORO","CO.1.537.343"
"Mesa","412","CO.1.537.343.412"
"Mesa","413","CO.1.537.343.413"
"Mesa","414","CO.1.537.343.414"
"Mesa","415","CO.1.537.343.415"
"Mesa","416","CO.1.537.343.416"
"Mesa","417","CO.1.537.343.417"
"Mesa","418","CO.1.537.343.418"
"Mesa","419","CO.1.537.343.419"
"Establecimiento","INST PRIVADO DEAN FUNES","CO.1.537.344"
"Mesa","433","CO.1.537.344.433"
"Mesa","434","CO.1.537.344.434"
"Mesa","435","CO.1.537.344.435"
"Mesa","436","CO.1.537.344.436"
"Mesa","437","CO.1.537.344.437"
"Mesa","438","CO.1.537.344.438"
"Mesa","439","CO.1.537.344.439"
"Establecimiento","INST PRIVADO EMPALME","CO.1.537.345"
"Mesa","425","CO.1.537.345.425"
"Mesa","426","CO.1.537.345.426"
"Mesa","427","CO.1.537.345.427"
"Mesa","428","CO.1.537.345.428"
"Mesa","429","CO.1.537.345.429"
"Mesa","430","CO.1.537.345.430"
"Mesa","431","CO.1.537.345.431"
"Mesa","432","CO.1.537.345.432"
"Establecimiento","IPEM N° 400 LOPEZ LALLANA","CO.1.537.346"
"Mesa","420","CO.1.537.346.420"
"Mesa","421","CO.1.537.346.421"
"Mesa","422","CO.1.537.346.422"
"Mesa","423","CO.1.537.346.423"
"Mesa","424","CO.1.537.346.424"
"Localidad","Maldonado (Circ. 5D)","CO.1.538"
"Establecimiento","IPEM N° 184-M.FRAGUEIRO","CO.1.538.347"
"Mesa","465","CO.1.538.347.465"
"Mesa","466","CO.1.538.347.466"
"Mesa","467","CO.1.538.347.467"
"Mesa","468","CO.1.538.347.468"
"Mesa","469","CO.1.538.347.469"
"Mesa","470","CO.1.538.347.470"
"Mesa","471","CO.1.538.347.471"
"Mesa","472","CO.1.538.347.472"
"Mesa","473","CO.1.538.347.473"
"Mesa","474","CO.1.538.347.474"
"Establecimiento","IPETYM N°133 DR FLORENCIO ESCARDO","CO.1.538.348"
"Mesa","456","CO.1.538.348.456"
"Mesa","457","CO.1.538.348.457"
"Mesa","458","CO.1.538.348.458"
"Mesa","459","CO.1.538.348.459"
"Mesa","460","CO.1.538.348.460"
"Mesa","461","CO.1.538.348.461"
"Mesa","462","CO.1.538.348.462"
